NUM_CENTROIDS,KMEANS_ITER,NPROBE,RECALL_mean,RECALL_std,ELAPSED_s_mean,AVG_QUERY_TIME_MS_mean,runs
512,1,48,0.9988,,20.0,4.51,1
384,1,128,0.9988,,32.0,14.23,1
896,1,64,0.9986,,20.0,3.96,1
1280,1,80,0.9986,,21.0,3.56,1
256,1,32,0.9984,,22.0,6.51,1
640,1,64,0.9984,,21.0,5.02,1
1536,1,96,0.9984,,21.0,3.82,1
640,1,80,0.9984,,22.0,5.78,1
640,1,96,0.9984,,24.0,6.98,1
640,1,128,0.9984,,26.0,9.02,1
640,1,112,0.9984,,24.0,7.62,1
768,1,48,0.9978,,20.0,3.57,1
384,1,32,0.9976,,21.0,4.39,1
96,1,16,0.9976,,26.0,9.77,1
2560,1,112,0.9974,,22.0,3.4,1
1536,1,80,0.9974,,21.0,3.22,1
2048,1,112,0.9972,,22.0,3.61,1
1024,1,64,0.9972,,20.0,3.91,1
192,1,128,0.997,,43.0,26.52,1
1280,1,64,0.997,,20.0,3.39,1
3072,1,112,0.9968,,24.0,3.09,1
128,1,16,0.9966,,26.0,8.46,1
640,1,48,0.9966,,20.0,3.85,1
2560,1,96,0.9962,,22.0,3.15,1
896,1,48,0.996,,20.0,3.44,1
2048,1,96,0.996,,22.0,3.36,1
1536,1,64,0.996,,21.0,3.07,1
512,1,32,0.995,,19.0,3.58,1
1024,1,48,0.995,,20.0,3.04,1
3072,1,96,0.994,,23.0,3.15,1
2048,1,80,0.9936,,21.0,2.91,1
1280,1,48,0.9936,,20.0,3.02,1
2560,1,80,0.9934,,21.0,2.74,1
4096,1,112,0.9932,,24.0,2.76,1
640,1,32,0.9922,,20.0,3.31,1
3072,1,80,0.9918,,23.0,2.69,1
192,1,16,0.9916,,25.0,7.13,1
64,1,8,0.9916,,27.0,9.95,1
256,1,128,0.9913,,39.0,20.95,1
768,1,32,0.9912,,20.0,3.08,1
1536,1,48,0.9904,,21.0,2.63,1
4096,1,96,0.9904,,25.0,3.06,1
2048,1,64,0.9902,,21.0,2.9,1
5120,1,112,0.99,,25.0,2.93,1
2560,1,64,0.9892,,21.0,2.94,1
6144,1,112,0.9884,,27.0,2.99,1
3072,1,64,0.9878,,22.0,2.82,1
896,1,32,0.9876,,20.0,3.27,1
4096,1,80,0.987,,23.0,2.61,1
5120,1,96,0.9868,,25.0,3.02,1
256,1,16,0.986,,22.0,4.64,1
8192,1,112,0.9852,,28.0,2.81,1
1024,1,32,0.9852,,20.0,2.98,1
6144,1,96,0.9848,,27.0,3.08,1
1280,1,32,0.9846,,21.0,2.9,1
2048,1,48,0.9836,,20.0,2.33,1
384,1,16,0.9828,,21.0,3.48,1
96,1,8,0.9826,,24.0,7.49,1
10240,1,112,0.9826,,31.0,3.04,1
5120,1,80,0.9824,,24.0,2.6,1
4096,1,64,0.981,,23.0,2.88,1
12288,1,112,0.9808,,34.0,2.97,1
1536,1,32,0.9808,,20.0,2.85,1
8192,1,96,0.9806,,29.0,3.14,1
6144,1,80,0.9804,,25.0,2.7,1
2560,1,48,0.9798,,21.0,2.38,1
14336,1,112,0.9786,,36.0,3.12,1
10240,1,96,0.977,,32.0,3.19,1
8192,1,80,0.976,,34.0,2.87,1
5120,1,64,0.976,,26.0,2.97,1
128,1,8,0.9756,,21.0,4.71,1
512,1,16,0.9736,,22.0,3.55,1
2048,1,32,0.9684,,21.0,2.89,1
64,1,4,0.9534,,22.0,5.24,1
64,1,2,0.8574,,21.0,3.52,1
64,1,1,0.7072,,20.0,2.75,1
