STAMP,NUM_CENTROIDS,KMEANS_ITER,NPROBE,ELAPSED_s,RECALL,AVG_QUERY_TIME_ms,INDEX_BUILD_TIME_s
c7000_i16_p120,7000,16,120,93,0.8784,1.26,79
c8192_i16_p120,8192,16,120,107,0.8714,1.13,92
c10240_i16_p120,10240,16,120,129,0.8618,1.18,115
c1536_i16_p128,1536,16,128,32,0.9409,2.52,16
c1600_i16_p128,1600,16,128,33,0.9400,2.53,17
c1800_i16_p128,1800,16,128,36,0.9355,2.51,22
c2048_i16_p128,2048,16,128,39,0.9326,2.47,24
c2200_i16_p128,2200,16,128,41,0.9286,2.28,24
c2560_i16_p128,2560,16,128,43,0.9232,2.05,29
c3072_i16_p128,3072,16,128,50,0.9175,1.67,35
c4096_i16_p128,4096,16,128,61,0.9044,1.49,48
c5120_i16_p128,5120,16,128,79,0.8962,1.54,62
c6144_i16_p128,6144,16,128,84,0.8851,1.20,68
c7000_i16_p128,7000,16,128,91,0.8826,1.22,76
c8192_i16_p128,8192,16,128,126,0.8746,1.65,109
c10240_i16_p128,10240,16,128,135,0.8664,1.47,119
c4200_i16_p64,4200,16,64,65,0.8601,1.36,50
c4500_i16_p64,4500,16,64,76,0.8541,2.12,60
c4800_i16_p64,4800,16,64,78,0.8534,1.55,59
c6000_i16_p64,6000,16,64,87,0.8442,1.16,71
c6666_i16_p64,6666,16,64,92,0.8358,0.20,77
c10240_i16_p64,10240,16,64,138,0.8183,1.07,122
c1536_i16_p68,1536,16,68,36,0.9082,2.33,18
c1600_i16_p68,1600,16,68,36,0.9070,2.48,18
c1800_i16_p68,1800,16,68,36,0.9017,1.79,20
c2048_i16_p68,2048,16,68,38,0.8946,0.58,24
c2200_i16_p68,2200,16,68,41,0.8899,1.52,24
c2560_i16_p68,2560,16,68,45,0.8855,1.35,29
c3072_i16_p68,3072,16,68,52,0.8800,1.33,35
c4096_i16_p68,4096,16,68,63,0.8632,1.51,46
c4200_i16_p68,4200,16,68,65,0.8650,1.14,49
c4500_i16_p68,4500,16,68,70,0.8591,1.24,54
c4800_i16_p68,4800,16,68,77,0.8573,1.48,61
c5120_i16_p68,5120,16,68,77,0.8542,1.54,63
c6000_i16_p68,6000,16,68,89,0.8488,1.07,71
c6144_i16_p68,6144,16,68,87,0.8470,1.12,72
c6666_i16_p68,6666,16,68,90,0.8404,0.99,76
c7000_i16_p68,7000,16,68,103,0.8395,1.14,89
c1536_i16_p72,1536,16,72,33,0.9108,1.77,16
c1600_i16_p72,1600,16,72,35,0.9112,2.03,19
c1800_i16_p72,1800,16,72,35,0.9049,1.62,19
c2048_i16_p72,2048,16,72,36,0.8992,1.55,21
c2200_i16_p72,2200,16,72,41,0.8934,1.42,26
c2560_i16_p72,2560,16,72,42,0.8894,1.62,28
c3072_i16_p72,3072,16,72,51,0.8837,1.23,36
c4096_i16_p72,4096,16,72,67,0.8673,1.24,51
c4200_i16_p72,4200,16,72,65,0.8688,1.31,49
c4500_i16_p72,4500,16,72,67,0.8635,1.10,52
c4800_i16_p72,4800,16,72,76,0.8611,1.25,61
c5120_i16_p72,5120,16,72,81,0.8595,1.15,64
c6000_i16_p72,6000,16,72,92,0.8525,1.04,77
c6144_i16_p72,6144,16,72,94,0.8508,1.03,79
c6666_i16_p72,6666,16,72,93,0.8444,0.99,79
c7000_i16_p72,7000,16,72,99,0.8447,1.34,85
c8192_i16_p72,8192,16,72,107,0.8382,0.99,92
c10240_i16_p72,10240,16,72,128,0.8261,1.03,114
c4200_i16_p80,4200,16,80,69,0.8755,1.16,53
c4500_i16_p80,4500,16,80,63,0.8711,1.08,50
c4800_i16_p80,4800,16,80,71,0.8682,1.07,55
c6000_i16_p80,6000,16,80,85,0.8593,1.16,71
c6666_i16_p80,6666,16,80,93,0.8504,1.11,77
c11451_i16_p80,11451,16,80,149,0.8268,1.11,135
c1536_i16_p84,1536,16,84,34,0.9197,2.02,17
c1600_i16_p84,1600,16,84,36,0.9201,2.22,20
c1800_i16_p84,1800,16,84,34,0.9149,1.86,19
c2048_i16_p84,2048,16,84,40,0.9083,1.67,24
c2200_i16_p84,2200,16,84,42,0.9030,1.64,25
c2560_i16_p84,2560,16,84,44,0.8993,1.50,29
c3072_i16_p84,3072,16,84,50,0.8919,1.32,34
c4096_i16_p84,4096,16,84,61,0.8775,1.17,45
c4200_i16_p84,4200,16,84,66,0.8782,1.24,50
c4500_i16_p84,4500,16,84,66,0.8743,1.15,52
c4800_i16_p84,4800,16,84,69,0.8707,1.11,53
c5120_i16_p84,5120,16,84,73,0.8695,1.11,58
c6000_i16_p84,6000,16,84,81,0.8621,1.07,68
c6144_i16_p84,6144,16,84,89,0.8594,1.14,73
c6666_i16_p84,6666,16,84,91,0.8530,1.08,75
c11451_i16_p64,11451,16,64,181,0.8107,1.17,166
c8192_i16_p68,8192,16,68,137,0.8341,1.35,121
c11451_i16_p72,11451,16,72,181,0.8201,1.08,165
c8192_i16_p84,8192,16,84,136,0.8494,1.07,120
c10240_i16_p84,10240,16,84,162,0.8361,1.44,148
c11451_i16_p84,11451,16,84,182,0.8305,1.31,166
c4200_i16_p90,4200,16,90,76,0.8840,Average query time: -0.18 ms,61
c4500_i16_p90,4500,16,90,84,0.8795,1.68,67
c4800_i16_p90,4800,16,90,87,0.8752,1.28,72
c6000_i16_p90,6000,16,90,100,0.8674,1.32,85
c6666_i16_p90,6666,16,90,109,0.8573,1.10,95
c11451_i16_p90,11451,16,90,174,0.8377,1.36,160
c1536_i16_p96,1536,16,96,39,0.9254,2.31,23
c1600_i16_p96,1600,16,96,39,0.9249,2.31,22
c1800_i16_p96,1800,16,96,41,0.9212,1.92,26
c2048_i16_p96,2048,16,96,44,0.9170,0.44,31
c10240_i16_p68,10240,16,68,163,0.8220,1.10,146
c2300_i16_p64,2300,16,64,54,0.8836,1.27,26
c2400_i16_p64,2400,16,64,42,0.8823,1.22,27
c2500_i16_p64,2500,16,64,43,0.8822,1.30,29
c2600_i16_p64,2600,16,64,44,0.8817,1.24,29
c2700_i16_p64,2700,16,64,44,0.8776,1.18,30
c2888_i16_p64,2888,16,64,46,0.8759,1.14,32
c2960_i16_p64,2960,16,64,47,0.8738,1.13,33
c3076_i16_p64,3076,16,64,48,0.8745,1.14,34
