variant,csr,prefetch,simd,pruning,heap,flat_index,reorder,adaptive_ep,M,ML,EFC,EFS,build_time_internal_ms,build_time_local_ms,queries_per_sec,avg_recall,avg_query_time_ms,avg_dists,last_query_dists,total_query_time_ms,log_file,run_index
heap,0,0,0,0,1,0,0,0,57,7,1400,1100,4578.325868,4583.890450, 189.797564, 0.998930, 5.268772, 69416.209100, 59934, 52687.715231,results/ablation_20251215_185810/params_M57_ML7_EFC1400_EFS1100/heap/run_stdout_1.log,1
no_adaptive_ep,0,0,0,0,0,0,0,1,57,7,1400,1100,4708.164665,4713.704489, 204.644638, 0.998930, 4.886519, 66997.212100, 57582, 48865.194346,results/ablation_20251215_185810/params_M57_ML7_EFC1400_EFS1100/no_adaptive_ep/run_stdout_1.log,1
dynamic_with_opts,0,0,0,0,0,1,0,0,57,7,1400,1150,4858.577185,4863.895274, 177.758213, 0.998990, 5.625619, 71947.031200, 61933, 56256.191181,results/ablation_20251215_185810/params_M57_ML7_EFC1400_EFS1150/dynamic_with_opts/run_stdout_1.log,1
full,0,0,0,0,0,0,0,0,57,7,1400,1150,4628.285097,4633.802048, 178.381405, 0.998990, 5.605965, 71947.031200, 61933, 56059.654761,results/ablation_20251215_185810/params_M57_ML7_EFC1400_EFS1150/full/run_stdout_1.log,1
heap,0,0,0,0,1,0,0,0,57,7,1400,1150,4553.097610,4558.716103, 194.450640, 0.998990, 5.142693, 71947.031200, 61933, 51426.932728,results/ablation_20251215_185810/params_M57_ML7_EFC1400_EFS1150/heap/run_stdout_1.log,1
no_adaptive_ep,0,0,0,0,0,0,0,1,57,7,1400,1150,4614.303395,4619.547453, 190.259650, 0.998990, 5.255975, 69526.469500, 59581, 52559.751823,results/ablation_20251215_185810/params_M57_ML7_EFC1400_EFS1150/no_adaptive_ep/run_stdout_1.log,1
dynamic_with_opts,0,0,0,0,0,1,0,0,57,7,1400,1200,4737.370665,4744.243538, 181.642235, 0.999050, 5.505328, 74454.697700, 63616, 55053.275490,results/ablation_20251215_185810/params_M57_ML7_EFC1400_EFS1200/dynamic_with_opts/run_stdout_1.log,1
full,0,0,0,0,0,0,0,0,57,7,1400,1200,4563.108034,4568.471719, 189.421520, 0.999050, 5.279231, 74454.697700, 63616, 52792.312096,results/ablation_20251215_185810/params_M57_ML7_EFC1400_EFS1200/full/run_stdout_1.log,1
heap,0,0,0,0,1,0,0,0,57,7,1400,1200,4601.625334,4607.231428, 177.898352, 0.999050, 5.621188, 74454.697700, 63616, 56211.875409,results/ablation_20251215_185810/params_M57_ML7_EFC1400_EFS1200/heap/run_stdout_1.log,1
no_adaptive_ep,0,0,0,0,0,0,0,1,57,7,1400,1200,4986.852367,4992.372725, 167.160585, 0.999050, 5.982271, 72032.478700, 61263, 59822.714674,results/ablation_20251215_185810/params_M57_ML7_EFC1400_EFS1200/no_adaptive_ep/run_stdout_1.log,1
dynamic_with_opts,0,0,0,0,0,1,0,0,57,7,1400,1250,4795.728882,4801.208478, 154.697065, 0.999160, 6.464247, 76935.837000, 65629, 64642.467650,result-ablation/ablation_20251215_194458/params_M57_ML7_EFC1400_EFS1250/dynamic_with_opts/run_stdout_1.log,1
full,0,0,0,0,0,0,0,0,57,7,1400,1250,4671.252963,4676.716891, 168.874638, 0.999160, 5.921552, 76935.837000, 65629, 59215.522795,result-ablation/ablation_20251215_194458/params_M57_ML7_EFC1400_EFS1250/full/run_stdout_1.log,1
heap,0,0,0,0,1,0,0,0,57,7,1400,1250,4767.472967,4773.618854, 170.328543, 0.999160, 5.871007, 76935.837000, 65629, 58710.066119,result-ablation/ablation_20251215_194458/params_M57_ML7_EFC1400_EFS1250/heap/run_stdout_1.log,1
no_adaptive_ep,0,0,0,0,0,0,0,1,57,7,1400,1250,4971.436375,4978.892513, 160.355761, 0.999160, 6.236134, 74512.198800, 63277, 62361.339295,result-ablation/ablation_20251215_194458/params_M57_ML7_EFC1400_EFS1250/no_adaptive_ep/run_stdout_1.log,1
dynamic_with_opts,0,0,0,0,0,1,0,0,57,7,1400,600,4570.954256,4576.717142, 315.544086, 0.995630, 3.169129, 42450.271100, 39000, 31691.292764,results/ablation_20251215_185810/params_M57_ML7_EFC1400_EFS600/dynamic_with_opts/run_stdout_1.log,1
full,0,0,0,0,0,0,0,0,57,7,1400,600,4635.171967,4640.849517, 369.547234, 0.995630, 2.706014, 42450.271100, 39000, 27060.140322,results/ablation_20251215_185810/params_M57_ML7_EFC1400_EFS600/full/run_stdout_1.log,1
heap,0,0,0,0,1,0,0,0,57,7,1400,600,4609.504165,4615.123254, 367.318527, 0.995630, 2.722433, 42450.271100, 39000, 27224.327804,results/ablation_20251215_185810/params_M57_ML7_EFC1400_EFS600/heap/run_stdout_1.log,1
no_adaptive_ep,0,0,0,0,0,0,0,1,57,7,1400,600,4546.799544,4552.371453, 358.604379, 0.995620, 2.788588, 40053.032000, 36719, 27885.883715,results/ablation_20251215_185810/params_M57_ML7_EFC1400_EFS600/no_adaptive_ep/run_stdout_1.log,1
dynamic_with_opts,0,0,0,0,0,1,0,0,57,7,1400,650,4638.219973,4643.596483, 330.124509, 0.996390, 3.029160, 45306.000300, 41372, 30291.601272,results/ablation_20251215_185810/params_M57_ML7_EFC1400_EFS650/dynamic_with_opts/run_stdout_1.log,1
full,0,0,0,0,0,0,0,0,57,7,1400,650,4598.327568,4603.753041, 338.769336, 0.996390, 2.951861, 45306.000300, 41372, 29518.610247,results/ablation_20251215_185810/params_M57_ML7_EFC1400_EFS650/full/run_stdout_1.log,1
heap,0,0,0,0,1,0,0,0,57,7,1400,650,4640.057503,4645.419340, 336.345209, 0.996390, 2.973136, 45306.000300, 41372, 29731.358574,results/ablation_20251215_185810/params_M57_ML7_EFC1400_EFS650/heap/run_stdout_1.log,1
no_adaptive_ep,0,0,0,0,0,0,0,1,57,7,1400,650,4621.765885,4627.252493, 331.621847, 0.996380, 3.015483, 42905.687000, 39094, 30154.828728,results/ablation_20251215_185810/params_M57_ML7_EFC1400_EFS650/no_adaptive_ep/run_stdout_1.log,1
dynamic_with_opts,0,0,0,0,0,1,0,0,57,7,1400,700,4685.008842,4690.476584, 295.924303, 0.996880, 3.379243, 48123.730700, 43609, 33792.425634,results/ablation_20251215_185810/params_M57_ML7_EFC1400_EFS700/dynamic_with_opts/run_stdout_1.log,1
full,0,0,0,0,0,0,0,0,57,7,1400,700,4926.828968,4934.396096, 303.610712, 0.996880, 3.293691, 48123.730700, 43609, 32936.914321,results/ablation_20251215_185810/params_M57_ML7_EFC1400_EFS700/full/run_stdout_1.log,1
heap,0,0,0,0,1,0,0,0,57,7,1400,700,4771.009854,4776.529540, 299.398919, 0.996880, 3.340025, 48123.730700, 43609, 33400.254247,results/ablation_20251215_185810/params_M57_ML7_EFC1400_EFS700/heap/run_stdout_1.log,1
no_adaptive_ep,0,0,0,0,0,0,0,1,57,7,1400,700,4699.261004,4704.687283, 298.194124, 0.996890, 3.353520, 45720.338600, 41327, 33535.201355,results/ablation_20251215_185810/params_M57_ML7_EFC1400_EFS700/no_adaptive_ep/run_stdout_1.log,1
dynamic_with_opts,0,0,0,0,0,1,0,0,57,7,1400,750,4610.450831,4615.751252, 287.159023, 0.997350, 3.482391, 50897.238700, 45740, 34823.910058,results/ablation_20251215_185810/params_M57_ML7_EFC1400_EFS750/dynamic_with_opts/run_stdout_1.log,1
full,0,0,0,0,0,0,0,0,57,7,1400,750,4768.513959,4774.137376, 249.694021, 0.997350, 4.004902, 50897.238700, 45740, 40049.016601,results/ablation_20251215_185810/params_M57_ML7_EFC1400_EFS750/full/run_stdout_1.log,1
heap,0,0,0,0,1,0,0,0,57,7,1400,750,4658.184480,4664.470176, 272.125934, 0.997350, 3.674769, 50897.238700, 45740, 36747.691942,results/ablation_20251215_185810/params_M57_ML7_EFC1400_EFS750/heap/run_stdout_1.log,1
no_adaptive_ep,0,0,0,0,0,0,0,1,57,7,1400,750,4704.361810,4710.378052, 287.124057, 0.997350, 3.482815, 48491.944300, 43458, 34828.150914,results/ablation_20251215_185810/params_M57_ML7_EFC1400_EFS750/no_adaptive_ep/run_stdout_1.log,1
dynamic_with_opts,0,0,0,0,0,1,0,0,57,7,1400,800,4690.246117,4696.036450, 242.472331, 0.997830, 4.124182, 53637.578500, 47767, 41241.819116,results/ablation_20251215_185810/params_M57_ML7_EFC1400_EFS800/dynamic_with_opts/run_stdout_1.log,1
full,0,0,0,0,0,0,0,0,57,7,1400,800,4826.574746,4832.841943, 244.683408, 0.997830, 4.086914, 53637.578500, 47767, 40869.138062,results/ablation_20251215_185810/params_M57_ML7_EFC1400_EFS800/full/run_stdout_1.log,1
heap,0,0,0,0,1,0,0,0,57,7,1400,800,4625.041626,4631.268200, 269.619206, 0.997830, 3.708935, 53637.578500, 47767, 37089.345909,results/ablation_20251215_185810/params_M57_ML7_EFC1400_EFS800/heap/run_stdout_1.log,1
no_adaptive_ep,0,0,0,0,0,0,0,1,57,7,1400,800,4759.072050,4765.296646, 271.489509, 0.997830, 3.683384, 51230.284100, 45486, 36833.835776,results/ablation_20251215_185810/params_M57_ML7_EFC1400_EFS800/no_adaptive_ep/run_stdout_1.log,1
dynamic_with_opts,0,0,0,0,0,1,0,0,57,7,1400,850,4610.683003,4616.198050, 260.704781, 0.998030, 3.835756, 56341.136900, 49843, 38357.562709,results/ablation_20251215_185810/params_M57_ML7_EFC1400_EFS850/dynamic_with_opts/run_stdout_1.log,1
full,0,0,0,0,0,0,0,0,57,7,1400,850,5030.122205,5036.460177, 218.253335, 0.998030, 4.581831, 56341.136900, 49843, 45818.314658,results/ablation_20251215_185810/params_M57_ML7_EFC1400_EFS850/full/run_stdout_1.log,1
heap,0,0,0,0,1,0,0,0,57,7,1400,850,4613.212239,4619.154806, 253.100341, 0.998030, 3.951002, 56341.136900, 49843, 39510.021859,results/ablation_20251215_185810/params_M57_ML7_EFC1400_EFS850/heap/run_stdout_1.log,1
no_adaptive_ep,0,0,0,0,0,0,0,1,57,7,1400,850,4728.930986,4734.437993, 267.659512, 0.998030, 3.736090, 53931.219700, 47557, 37360.899031,results/ablation_20251215_185810/params_M57_ML7_EFC1400_EFS850/no_adaptive_ep/run_stdout_1.log,1
dynamic_with_opts,0,0,0,0,0,1,0,0,57,7,1400,900,4760.794657,4766.146471, 239.911893, 0.998260, 4.168197, 59017.427000, 51766, 41681.968556,results/ablation_20251215_185810/params_M57_ML7_EFC1400_EFS900/dynamic_with_opts/run_stdout_1.log,1
full,0,0,0,0,0,0,0,0,57,7,1400,900,4686.422321,4691.782240, 223.720846, 0.998260, 4.469856, 59017.427000, 51766, 44698.561527,results/ablation_20251215_185810/params_M57_ML7_EFC1400_EFS900/full/run_stdout_1.log,1
heap,0,0,0,0,1,0,0,0,57,7,1400,900,4639.280078,4644.972426, 248.277501, 0.998260, 4.027751, 59017.427000, 51766, 40277.511895,results/ablation_20251215_185810/params_M57_ML7_EFC1400_EFS900/heap/run_stdout_1.log,1
no_adaptive_ep,0,0,0,0,0,0,0,1,57,7,1400,900,4589.451356,4594.721960, 246.831788, 0.998260, 4.051342, 56605.580400, 49481, 40513.420390,results/ablation_20251215_185810/params_M57_ML7_EFC1400_EFS900/no_adaptive_ep/run_stdout_1.log,1
dynamic_with_opts,0,0,0,0,0,1,0,0,57,7,1400,950,4903.720521,4909.193704, 204.020960, 0.998480, 4.901457, 61659.139000, 53843, 49014.571953,results/ablation_20251215_185810/params_M57_ML7_EFC1400_EFS950/dynamic_with_opts/run_stdout_1.log,1
full,0,0,0,0,0,0,0,0,57,7,1400,950,4816.851377,4823.112999, 215.632798, 0.998480, 4.637513, 61659.139000, 53843, 46375.134406,results/ablation_20251215_185810/params_M57_ML7_EFC1400_EFS950/full/run_stdout_1.log,1
heap,0,0,0,0,1,0,0,0,57,7,1400,950,4552.451382,4557.724586, 235.586258, 0.998480, 4.244730, 61659.139000, 53843, 42447.297545,results/ablation_20251215_185810/params_M57_ML7_EFC1400_EFS950/heap/run_stdout_1.log,1
no_adaptive_ep,0,0,0,0,0,0,0,1,57,7,1400,950,4603.050294,4608.299743, 223.921427, 0.998480, 4.465852, 59245.633700, 51557, 44658.522032,results/ablation_20251215_185810/params_M57_ML7_EFC1400_EFS950/no_adaptive_ep/run_stdout_1.log,1
