NUM_CENTROIDS,KMEANS_ITER,NPROBE,RECALL_mean,RECALL_std,ELAPSED_s_mean,AVG_QUERY_TIME_MS_mean,runs
512,4,1024,1.0,,119.0,70.72,1
400,8,400,1.0,,116.0,68.25,1
400,4,512,1.0,,113.0,72.47,1
400,4,400,1.0,,114.0,74.44,1
400,8,648,1.0,,114.0,68.24,1
400,8,512,1.0,,112.0,64.29,1
400,4,648,1.0,,115.0,74.52,1
400,4,800,1.0,,114.0,73.0,1
400,4,1024,1.0,,111.0,70.17,1
256,8,800,1.0,,108.0,74.17,1
256,8,512,1.0,,101.0,65.56,1
186,4,200,1.0,,100.0,72.41,1
186,4,324,1.0,,101.0,74.44,1
186,4,256,1.0,0.0,99.5,72.43,2
186,4,512,1.0,,101.0,73.33,1
186,4,648,1.0,,100.0,73.11,1
186,4,800,1.0,,102.0,73.63,1
186,4,1024,1.0,,97.0,70.79,1
512,4,512,1.0,,122.0,74.39,1
186,4,400,1.0,,99.0,72.3,1
186,8,648,1.0,,95.0,65.43,1
186,8,800,1.0,,99.0,70.24,1
186,8,200,1.0,,104.0,75.04,1
186,8,256,1.0,,102.0,72.53,1
186,8,324,1.0,,103.0,73.69,1
186,8,400,1.0,,102.0,70.42,1
186,8,512,1.0,,95.0,64.98,1
128,8,144,1.0,,97.0,71.81,1
128,8,128,1.0,,95.0,70.23,1
128,4,1024,1.0,,89.0,67.61,1
32,4,512,1.0,0.0,88.0,71.025,2
32,4,648,1.0,,87.0,68.97,1
32,4,800,1.0,,85.0,68.63,1
32,4,32,1.0,0.0,86.0,68.4,2
32,4,48,1.0,0.0,83.0,65.19,2
32,4,64,1.0,0.0,86.0,69.39,3
32,4,324,1.0,,86.0,68.25,1
32,4,400,1.0,,87.0,69.2,1
32,4,80,1.0,,86.0,67.74,1
32,4,128,1.0,0.0,108.66666666666667,69.39999999999999,3
32,8,128,1.0,,91.0,72.38,1
32,8,80,1.0,,93.0,75.17,1
32,8,144,1.0,,92.0,73.17,1
32,8,200,1.0,,93.0,73.39,1
32,8,324,1.0,,92.0,74.35,1
32,8,256,1.0,,92.0,74.75,1
32,4,1024,1.0,,84.0,68.34,1
32,8,512,1.0,,87.0,67.72,1
32,8,648,1.0,,84.0,65.48,1
32,8,800,1.0,,90.0,70.62,1
324,4,648,1.0,,109.0,72.71,1
324,4,800,1.0,,112.0,76.0,1
324,8,324,1.0,,115.0,74.67,1
324,8,400,1.0,,111.0,70.82,1
324,8,648,1.0,,111.0,71.35,1
324,8,512,1.0,,108.0,69.19,1
256,4,1024,1.0,,106.0,73.97,1
256,4,800,1.0,,105.0,73.58,1
256,4,648,1.0,,104.0,72.8,1
256,4,512,1.0,,104.0,74.62,1
256,4,400,1.0,,105.0,74.71,1
256,4,324,1.0,,106.0,74.53,1
324,8,800,1.0,,112.0,71.78,1
324,4,324,1.0,,110.0,75.46,1
324,4,400,1.0,,111.0,74.49,1
324,4,512,1.0,,111.0,75.11,1
32,4,144,1.0,,88.0,69.41,1
324,4,1024,1.0,,110.0,73.29,1
256,32,256,1.0,,202.0,107.28,1
256,32,512,1.0,,178.0,79.85,1
186,8,144,0.9999,,85.0,55.78,1
400,4,324,0.9998,,97.0,56.04,1
1024,4,800,0.9998,,137.0,54.3,1
800,8,648,0.9998,,128.0,48.09,1
800,4,648,0.9997,,120.0,53.57,1
512,8,400,0.9997,,104.0,51.14,1
400,8,324,0.9997,,102.0,55.44,1
256,8,200,0.9996,,92.0,56.53,1
324,4,256,0.9996,0.0,91.0,55.165,2
324,8,256,0.9996,,96.0,55.78,1
512,4,400,0.9994,,100.0,52.28,1
186,4,144,0.9993,,83.0,54.75,1
800,8,512,0.9993,,115.0,38.96,1
1024,8,648,0.9992,,134.0,38.44,1
256,4,200,0.9991,,86.0,54.11,1
80,8,64,0.999,,78.0,57.43,1
80,16,64,0.999,0.0,96.5,59.205,2
1600,4,1024,0.999,,160.0,42.73,1
80,4,64,0.9989,0.0,76.5,56.08,2
64,16,48,0.9988,,76.0,52.15,1
800,4,512,0.9986,,110.0,43.95,1
1024,4,648,0.9985,,122.0,41.69,1
400,8,256,0.9985,,92.0,45.33,1
512,8,324,0.9984,,99.0,44.41,1
186,8,128,0.9984,,82.0,52.41,1
400,4,256,0.998,0.0,86.5,45.34,2
64,4,48,0.998,,71.0,51.6,1
324,8,200,0.9978,,85.0,44.16,1
1024,8,512,0.9976,,124.0,29.54,1
1600,4,800,0.9975,,151.0,33.83,1
512,4,324,0.9974,,90.0,43.27,1
186,4,128,0.9974,0.0,75.5,49.08,2
1024,4,512,0.9972,,115.0,34.56,1
2048,4,1024,0.9972,,179.0,32.48,1
512,16,256,0.9971,0.0,124.0,39.625,2
800,8,400,0.9968,,109.0,33.15,1
324,4,200,0.9967,,77.0,40.81,1
256,8,144,0.9963,,75.0,40.78,1
400,8,200,0.9961,,80.0,35.69,1
1600,8,648,0.9959,,162.0,23.17,1
128,8,80,0.9958,,69.0,44.23,1
800,4,400,0.9958,,102.0,33.7,1
512,8,256,0.9955,0.0,92.0,33.515,2
256,4,144,0.9952,,70.0,38.39,1
256,32,128,0.9951,,151.0,43.86,1
256,16,128,0.9951,,103.0,40.34,1
80,16,48,0.9951,0.0,102.0,44.605000000000004,2
128,4,80,0.995,,65.0,42.39,1
512,4,256,0.995,0.0,79.66666666666667,31.766666666666666,3
1600,4,648,0.9949,,144.0,25.61,1
80,4,48,0.9946,,63.0,42.06,1
400,4,200,0.9946,,75.0,34.38,1
256,8,128,0.9944,,71.0,36.03,1
128,32,64,0.9944,,103.0,42.18,1
1024,8,400,0.9943,,120.0,26.19,1
128,16,64,0.9939,0.0,100.0,41.36,2
800,8,324,0.9937,,104.0,27.35,1
2048,4,800,0.9937,,174.0,26.85,1
324,8,144,0.9934,,71.0,31.99,1
512,2,256,0.9933,,75.0,33.69,1
256,4,128,0.9929,0.0,67.0,35.685,2
1024,4,400,0.9928,,105.0,25.31,1
800,4,324,0.9922,,93.0,26.95,1
186,8,80,0.9922,,61.0,31.86,1
2048,8,648,0.9921,,194.0,19.99,1
64,16,32,0.992,0.0,80.0,39.24666666666667,3
128,8,64,0.992,,63.0,38.57,1
128,4,64,0.9917,0.0,58.0,35.07,2
64,32,32,0.9915,,95.0,40.74,1
512,8,200,0.9912,,81.0,27.09,1
1600,8,512,0.9911,,155.0,16.6,1
324,8,128,0.9908,,69.0,29.15,1
64,8,32,0.9903,,59.0,38.56,1
324,4,144,0.9902,,66.0,31.31,1
1600,4,512,0.9899,,140.0,21.13,1
1024,8,324,0.9897,,114.0,20.63,1
800,8,256,0.9894,,99.0,22.31,1
186,4,80,0.9893,,58.0,31.58,1
512,4,200,0.9893,,75.0,26.78,1
2048,4,648,0.9891,,169.0,21.17,1
400,8,144,0.989,,72.0,25.56,1
32,8,16,0.9889,,57.0,38.98,1
4096,4,1024,0.9887,,297.0,16.08,1
128,16,48,0.9884,0.0,70.5,29.825,2
64,4,32,0.9883,0.0,55.0,35.959999999999994,2
80,16,32,0.9877,,53.0,30.01,1
80,8,32,0.9875,,51.0,30.71,1
1024,4,324,0.9875,,101.0,21.68,1
324,4,128,0.9874,0.0,62.0,27.235,2
186,16,64,0.9873,,113.0,47.45,1
2048,8,512,0.9872,,188.0,14.88,1
400,4,144,0.9866,,65.0,25.32,1
800,4,256,0.9862,0.0,89.5,23.09,2
400,8,128,0.9862,,70.0,24.8,1
1600,8,400,0.9859,,153.0,15.78,1
32,4,16,0.9859,0.0,54.4,37.013999999999996,5
1024,16,256,0.9856,,120.0,18.75,1
186,8,64,0.9846,,56.0,27.57,1
1024,8,256,0.9838,0.0,100.5,17.880000000000003,2
2048,4,512,0.9835,,164.0,16.58,1
256,8,80,0.9834,,57.0,22.42,1
512,16,128,0.9831,0.0,109.0,20.645,2
400,4,128,0.983,0.0,62.5,22.795,2
1600,4,400,0.9828,,139.0,17.31,1
512,8,144,0.9826,,72.0,19.68,1
800,8,200,0.9822,,95.0,16.9,1
128,4,48,0.9819,,49.0,25.99,1
4096,4,800,0.9817,,296.0,14.6,1
186,4,64,0.9814,0.0,52.0,24.455,2
80,4,32,0.9812,0.0,49.5,29.085,2
1024,4,256,0.9811,0.0,91.33333333333333,17.393333333333334,3
800,4,200,0.98,,82.0,16.32,1
1024,2,256,0.9799,,73.0,17.72,1
256,4,80,0.9799,,54.0,22.05,1
512,4,144,0.9791,,66.0,18.36,1
512,8,128,0.979,0.0,73.0,18.105,2
2048,8,400,0.9785,,191.0,11.72,1
4096,8,648,0.9785,,345.0,11.3,1
256,32,64,0.9778,,132.0,21.15,1
1600,8,324,0.9774,,153.0,12.94,1
1600,4,324,0.9773,,132.0,13.98,1
256,16,64,0.9766,0.0,94.0,23.02,2
186,16,48,0.9766,0.0,79.0,27.58,2
1024,8,200,0.9763,,108.0,14.46,1
128,32,32,0.9753,,84.0,22.35,1
2048,4,400,0.9753,,160.0,13.66,1
324,8,80,0.975,,59.0,19.12,1
512,4,128,0.975,0.0,63.666666666666664,16.386666666666667,3
4096,4,648,0.9745,,291.0,11.65,1
128,16,32,0.9735,0.0,61.5,20.825000000000003,2
256,8,64,0.9726,,53.0,20.1,1
512,2,128,0.9725,,58.0,16.26,1
1024,4,200,0.972,,93.0,12.68,1
800,8,144,0.9714,,88.0,11.93,1
324,16,64,0.9692,,103.0,27.77,1
1600,4,256,0.9691,0.0,130.5,11.83,2
256,4,64,0.9689,0.0,48.5,17.225,2
4096,8,512,0.9689,,352.0,9.01,1
1600,8,256,0.9686,,151.0,12.71,1
186,4,48,0.9672,,45.0,18.93,1
128,8,32,0.966,,46.0,21.23,1
4096,4,512,0.966,,290.0,9.9,1
400,16,64,0.966,,105.0,21.59,1
2048,16,256,0.9657,,184.0,10.51,1
256,16,48,0.9639,,105.0,37.42,1
64,32,16,0.9634,,77.0,22.8,1
64,16,16,0.9627,,71.0,21.53,1
2048,8,256,0.9621,,116.0,9.88,1
128,4,32,0.9601,0.0,41.5,18.375,2
1024,16,128,0.9599,,112.0,10.26,1
2048,4,256,0.9591,,93.0,9.63,1
324,16,48,0.9567,,94.0,21.82,1
2048,2,256,0.9564,,73.0,9.53,1
64,8,16,0.9562,,40.0,20.58,1
1024,8,128,0.9556,,83.0,9.93,1
512,16,64,0.9529,0.0,97.5,11.315,2
64,4,16,0.9508,0.0,38.0,19.083333333333332,3
1024,4,128,0.9499,,68.0,9.31,1
400,16,48,0.9484,,98.0,17.63,1
512,8,64,0.9479,,65.0,10.42,1
1024,2,128,0.9479,,60.0,8.72,1
256,32,32,0.947,,116.0,11.41,1
256,16,32,0.9457,,72.0,11.31,1
512,4,64,0.9397,,57.0,7.99,1
32,4,8,0.9367,,40.0,22.33,1
80,4,16,0.9366,0.0,35.5,15.15,2
128,32,16,0.9358,,74.0,12.47,1
4096,2,256,0.9356,,100.0,5.96,1
512,2,64,0.9356,,54.0,7.68,1
4096,4,256,0.9338,,130.0,5.67,1
128,16,16,0.9337,,64.0,12.22,1
2048,16,128,0.9333,,180.0,5.61,1
2048,8,128,0.9269,,115.0,5.26,1
1024,16,64,0.926,,106.0,5.4,1
2048,4,128,0.9222,,83.0,5.37,1
2048,2,128,0.921,,68.0,5.49,1
1024,8,64,0.92,,77.0,5.45,1
64,32,8,0.9173,,70.0,14.1,1
128,4,16,0.9162,0.0,34.0,10.66,2
512,16,32,0.9158,0.0,93.0,6.045,2
1024,4,64,0.9141,,65.0,5.19,1
64,16,8,0.9137,,86.0,13.35,1
512,8,32,0.9077,,60.0,5.52,1
1024,2,64,0.9059,,56.0,5.24,1
4096,8,128,0.9023,,190.0,4.13,1
256,32,16,0.9018,,110.0,6.89,1
256,16,16,0.8986,,67.0,6.94,1
186,4,16,0.897,0.0,34.0,7.63,2
32,32,4,0.8962,,43.0,19.26,1
4096,4,128,0.896,,128.0,3.96,1
4096,2,128,0.8958,,92.0,4.16,1
512,4,32,0.8958,,52.0,5.06,1
32,20,4,0.8942,,41.0,19.33,1
64,4,8,0.8934,,32.0,13.26,1
32,16,4,0.8915,,38.0,19.17,1
2048,16,64,0.8915,,178.0,3.85,1
128,32,8,0.8862,,70.0,8.17,1
512,2,32,0.885,,49.0,4.89,1
128,16,8,0.8848,,61.0,8.21,1
2048,8,64,0.8834,,116.0,3.66,1
2048,4,64,0.882,,80.0,3.71,1
32,8,4,0.8818,0.0,36.0,18.9,2
80,4,8,0.8797,,30.0,10.95,1
1024,16,32,0.8788,,111.0,3.66,1
2048,2,64,0.8781,,66.0,3.79,1
256,4,16,0.8776,0.0,37.0,5.89,2
1024,8,32,0.874,,82.0,3.54,1
324,4,16,0.8667,,39.0,4.1,1
32,4,4,0.8626,0.0,35.0,17.12,2
512,16,16,0.862,,103.0,4.03,1
1024,4,32,0.8613,,62.0,3.61,1
400,4,16,0.8559,,45.0,4.45,1
4096,8,64,0.8559,,186.0,3.48,1
128,4,8,0.8548,,30.0,7.46,1
1024,2,32,0.8519,,55.0,3.78,1
4096,4,64,0.8507,,129.0,3.43,1
2048,16,32,0.8483,,169.0,3.09,1
256,32,8,0.8455,,101.0,6.86,1
4096,2,64,0.8453,,98.0,3.34,1
256,16,8,0.8383,,68.0,5.17,1
2048,8,32,0.8367,,110.0,3.08,1
186,4,8,0.8337,,32.0,5.5,1
2048,4,32,0.8288,,86.0,3.04,1
2048,2,32,0.8189,,66.0,3.17,1
256,4,8,0.8115,,35.0,4.48,1
4096,8,32,0.8042,,189.0,2.99,1
324,4,8,0.801,,39.0,3.85,1
512,16,8,0.801,,102.0,2.96,1
4096,4,32,0.7941,,130.0,3.08,1
4096,2,32,0.7861,,97.0,3.1,1
32,4,2,0.7619,0.0,32.0,14.35,2
64,4,2,0.7071,,27.0,9.1,1
80,4,2,0.6942,,27.0,7.26,1
128,4,2,0.6716,,28.0,5.26,1
