variant,csr,prefetch,simd,pruning,heap,flat_index,reorder,M,ML,EFC,EFS,build_time_internal_ms,build_time_local_ms,queries_per_sec,avg_recall,avg_query_time_ms,avg_dists,last_query_dists,total_query_time_ms,log_file,run_index
no_pruning,0,0,0,1,0,0,0,59,5,763,345,4008.153736,4013.917620, 798.208586, 0.976580, 1.252805, 17537.328200, 14249, 12528.053663,results/ablation_20251205_022349/params_M59_ML5_EFC763_EFS345/no_pruning/run_stdout_1.log,1
no_reorder,0,0,0,0,0,0,1,59,5,763,345,3943.742972,3948.707382, 852.889711, 0.976580, 1.172485, 17537.328200, 14249, 11724.845388,results/ablation_20251205_022349/params_M59_ML5_EFC763_EFS345/no_reorder/run_stdout_1.log,1
no_simd,0,0,1,0,0,0,0,59,5,763,345,3969.895164,3975.642644, 795.197541, 0.976580, 1.257549, 17537.328200, 14249, 12575.491604,results/ablation_20251205_022349/params_M59_ML5_EFC763_EFS345/no_simd/run_stdout_1.log,1
nothing,1,1,1,1,1,1,1,59,5,763,345,3857.785239,5241.386905, 460.690578, 0.000000, 2.170654, 17532.283900, 14117, 21706.543360,results/ablation_20251205_022349/params_M59_ML5_EFC763_EFS345/nothing/run_stdout_1.log,1
dynamic_struct,0,0,0,0,0,1,0,59,5,763,350,3836.014657,3840.894547, 799.822513, 0.977000, 1.250277, 17761.664600, 14377, 12502.773855,results/ablation_20251205_022349/params_M59_ML5_EFC763_EFS350/dynamic_struct/run_stdout_1.log,1
dynamic_with_opts,0,0,0,0,0,1,0,59,5,763,350,4006.717675,4012.648521, 782.225324, 0.977000, 1.278404, 17761.664600, 14377, 12784.040208,results/ablation_20251205_022349/params_M59_ML5_EFC763_EFS350/dynamic_with_opts/run_stdout_1.log,1
full,0,0,0,0,0,0,0,59,5,763,350,4053.847727,4060.357023, 706.921695, 0.977000, 1.414584, 17761.664600, 14377, 14145.838325,results/ablation_20251205_022349/params_M59_ML5_EFC763_EFS350/full/run_stdout_1.log,1
heap,0,0,0,0,1,0,0,59,5,763,350,3965.994301,3971.610766, 822.385900, 0.977000, 1.215974, 17761.664600, 14377, 12159.741558,results/ablation_20251205_022349/params_M59_ML5_EFC763_EFS350/heap/run_stdout_1.log,1
no_csr,1,0,0,0,0,0,0,59,5,763,350,3934.856879,5351.577056, 488.608395, 0.000000, 2.046629, 17756.379400, 14245, 20466.287712,results/ablation_20251205_022349/params_M59_ML5_EFC763_EFS350/no_csr/run_stdout_1.log,1
no_prefetch,0,1,0,0,0,0,0,59,5,763,350,4116.438871,4122.136771, 627.987293, 0.977000, 1.592389, 17761.664600, 14377, 15923.889072,results/ablation_20251205_022349/params_M59_ML5_EFC763_EFS350/no_prefetch/run_stdout_1.log,1
no_pruning,0,0,0,1,0,0,0,59,5,763,350,4005.801881,4010.791877, 813.336712, 0.977000, 1.229503, 17761.664600, 14377, 12295.030898,results/ablation_20251205_022349/params_M59_ML5_EFC763_EFS350/no_pruning/run_stdout_1.log,1
no_reorder,0,0,0,0,0,0,1,59,5,763,350,3971.031241,3976.192415, 811.584217, 0.977000, 1.232158, 17761.664600, 14377, 12321.580184,results/ablation_20251205_022349/params_M59_ML5_EFC763_EFS350/no_reorder/run_stdout_1.log,1
no_simd,0,0,1,0,0,0,0,59,5,763,350,4007.398149,4012.471753, 831.885694, 0.977000, 1.202088, 17761.664600, 14377, 12020.882276,results/ablation_20251205_022349/params_M59_ML5_EFC763_EFS350/no_simd/run_stdout_1.log,1
nothing,1,1,1,1,1,1,1,59,5,763,350,4047.804864,5485.982506, 433.122015, 0.000000, 2.308818, 17756.379400, 14245, 23088.182185,results/ablation_20251205_022349/params_M59_ML5_EFC763_EFS350/nothing/run_stdout_1.log,1
dynamic_struct,0,0,0,0,0,1,0,59,5,763,355,3990.873972,3996.624116, 816.832333, 0.977430, 1.224241, 17985.670400, 14568, 12242.414496,results/ablation_20251205_022349/params_M59_ML5_EFC763_EFS355/dynamic_struct/run_stdout_1.log,1
dynamic_with_opts,0,0,0,0,0,1,0,59,5,763,355,3857.866426,3863.506061, 806.581954, 0.977430, 1.239800, 17985.670400, 14568, 12397.996204,results/ablation_20251205_022349/params_M59_ML5_EFC763_EFS355/dynamic_with_opts/run_stdout_1.log,1
full,0,0,0,0,0,0,0,59,5,763,355,3905.068328,3910.429886, 814.945489, 0.977430, 1.227076, 17985.670400, 14568, 12270.759377,results/ablation_20251205_022349/params_M59_ML5_EFC763_EFS355/full/run_stdout_1.log,1
heap,0,0,0,0,1,0,0,59,5,763,355,3932.555050,3938.004189, 814.923919, 0.977430, 1.227108, 17985.670400, 14568, 12271.084164,results/ablation_20251205_022349/params_M59_ML5_EFC763_EFS355/heap/run_stdout_1.log,1
no_csr,1,0,0,0,0,0,0,59,5,763,355,3981.079226,5369.705355, 478.834151, 0.000000, 2.088406, 17980.378200, 14436, 20884.057625,results/ablation_20251205_022349/params_M59_ML5_EFC763_EFS355/no_csr/run_stdout_1.log,1
no_prefetch,0,1,0,0,0,0,0,59,5,763,355,3951.122995,3956.549191, 664.982163, 0.977430, 1.503800, 17985.670400, 14568, 15037.997340,results/ablation_20251205_022349/params_M59_ML5_EFC763_EFS355/no_prefetch/run_stdout_1.log,1
no_pruning,0,0,0,1,0,0,0,59,5,763,355,3838.058743,3843.593349, 813.655863, 0.977430, 1.229021, 17985.670400, 14568, 12290.208244,results/ablation_20251205_022349/params_M59_ML5_EFC763_EFS355/no_pruning/run_stdout_1.log,1
