variant,csr,prefetch,simd,pruning,heap,flat_index,reorder,adaptive_ep,M,ML,EFC,EFS,build_time_internal_ms,build_time_local_ms,queries_per_sec,avg_recall,avg_query_time_ms,avg_dists,last_query_dists,total_query_time_ms,log_file,run_index
full,0,0,0,0,0,0,0,0,57,7,1400,300,4484645.822384,4757753.971811, 717.827705, 0.983090, 1.393092, 24275.680000, 23906, 13930.919529,results/ablation_20251215_144937/params_M57_ML7_EFC1400_EFS300/full/run_stdout_1.log,1
heap,0,0,0,0,1,0,0,0,57,7,1400,300,4589.943658,4595.936012, 741.063719, 0.983090, 1.349412, 24275.680000, 23906, 13494.116295,results/ablation_20251215_144937/params_M57_ML7_EFC1400_EFS300/heap/run_stdout_1.log,1
no_adaptive_ep,0,0,0,0,0,0,0,1,57,7,1400,300,4654.188614,4660.905300, 713.940056, 0.983170, 1.400678, 21901.750400, 21656, 14006.778192,results/ablation_20251215_144937/params_M57_ML7_EFC1400_EFS300/no_adaptive_ep/run_stdout_1.log,1
dynamic_with_opts,0,0,0,0,0,1,0,0,57,7,1400,350,4553.417380,4558.683536, 625.884826, 0.986920, 1.597738, 27451.879700, 26681, 15977.380490,results/ablation_20251215_144937/params_M57_ML7_EFC1400_EFS350/dynamic_with_opts/run_stdout_1.log,1
full,0,0,0,0,0,0,0,0,57,7,1400,350,4526.478576,4531.897196, 634.147049, 0.986920, 1.576921, 27451.879700, 26681, 15769.213165,results/ablation_20251215_144937/params_M57_ML7_EFC1400_EFS350/full/run_stdout_1.log,1
heap,0,0,0,0,1,0,0,0,57,7,1400,350,4698.805074,4704.499946, 634.930560, 0.986920, 1.574975, 27451.879700, 26681, 15749.753811,results/ablation_20251215_144937/params_M57_ML7_EFC1400_EFS350/heap/run_stdout_1.log,1
no_adaptive_ep,0,0,0,0,0,0,0,1,57,7,1400,350,4497.899710,4503.225454, 626.993929, 0.986940, 1.594912, 25072.253000, 24415, 15949.117759,results/ablation_20251215_144937/params_M57_ML7_EFC1400_EFS350/no_adaptive_ep/run_stdout_1.log,1
dynamic_with_opts,0,0,0,0,0,1,0,0,57,7,1400,400,4565.954098,4571.448681, 552.831838, 0.989700, 1.808868, 30562.358900, 29374, 18088.683247,results/ablation_20251215_144937/params_M57_ML7_EFC1400_EFS400/dynamic_with_opts/run_stdout_1.log,1
full,0,0,0,0,0,0,0,0,57,7,1400,400,4529.132329,4534.427485, 557.160022, 0.989700, 1.794816, 30562.358900, 29374, 17948.164973,results/ablation_20251215_144937/params_M57_ML7_EFC1400_EFS400/full/run_stdout_1.log,1
heap,0,0,0,0,1,0,0,0,57,7,1400,400,4519.493469,4524.903283, 466.882802, 0.989700, 2.141865, 30562.358900, 29374, 21418.651463,results/ablation_20251215_144937/params_M57_ML7_EFC1400_EFS400/heap/run_stdout_1.log,1
no_adaptive_ep,0,0,0,0,0,0,0,1,57,7,1400,400,4564.249855,4569.491820, 554.727210, 0.989700, 1.802688, 28178.434100, 27145, 18026.878488,results/ablation_20251215_144937/params_M57_ML7_EFC1400_EFS400/no_adaptive_ep/run_stdout_1.log,1
dynamic_with_opts,0,0,0,0,0,1,0,0,57,7,1400,450,4468.233970,4473.449465, 492.326399, 0.991690, 2.031173, 33611.135800, 31922, 20311.728212,results/ablation_20251215_144937/params_M57_ML7_EFC1400_EFS450/dynamic_with_opts/run_stdout_1.log,1
full,0,0,0,0,0,0,0,0,57,7,1400,450,4462.694019,4468.212268, 501.720250, 0.991690, 1.993143, 33611.135800, 31922, 19931.425935,results/ablation_20251215_144937/params_M57_ML7_EFC1400_EFS450/full/run_stdout_1.log,1
heap,0,0,0,0,1,0,0,0,57,7,1400,450,4540.093724,4545.488129, 496.316010, 0.991690, 2.014845, 33611.135800, 31922, 20148.453405,results/ablation_20251215_144937/params_M57_ML7_EFC1400_EFS450/heap/run_stdout_1.log,1
no_adaptive_ep,0,0,0,0,0,0,0,1,57,7,1400,450,4460.321217,4465.539858, 505.313836, 0.991720, 1.978968, 31223.582800, 29732, 19789.681772,results/ablation_20251215_144937/params_M57_ML7_EFC1400_EFS450/no_adaptive_ep/run_stdout_1.log,1
dynamic_with_opts,0,0,0,0,0,1,0,0,57,7,1400,500,4514.247217,4519.572882, 436.869839, 0.993360, 2.289011, 36608.464800, 34514, 22890.113034,results/ablation_20251215_144937/params_M57_ML7_EFC1400_EFS500/dynamic_with_opts/run_stdout_1.log,1
full,0,0,0,0,0,0,0,0,57,7,1400,500,4512.452426,4517.722134, 379.752745, 0.993360, 2.633292, 36608.464800, 34514, 26332.923556,results/ablation_20251215_144937/params_M57_ML7_EFC1400_EFS500/full/run_stdout_1.log,1
heap,0,0,0,0,1,0,0,0,57,7,1400,500,4511.735491,4517.060568, 441.450781, 0.993360, 2.265258, 36608.464800, 34514, 22652.581958,results/ablation_20251215_144937/params_M57_ML7_EFC1400_EFS500/heap/run_stdout_1.log,1
no_adaptive_ep,0,0,0,0,0,0,0,1,57,7,1400,500,4513.557702,4519.093905, 447.725192, 0.993350, 2.233513, 34217.047200, 32214, 22335.129157,results/ablation_20251215_144937/params_M57_ML7_EFC1400_EFS500/no_adaptive_ep/run_stdout_1.log,1
dynamic_with_opts,0,0,0,0,0,1,0,0,57,7,1400,550,4486.688735,4492.352434, 409.708394, 0.994670, 2.440760, 39551.244000, 36926, 24407.603405,results/ablation_20251215_144937/params_M57_ML7_EFC1400_EFS550/dynamic_with_opts/run_stdout_1.log,1
full,0,0,0,0,0,0,0,0,57,7,1400,550,4544.298059,4550.218821, 404.888916, 0.994670, 2.469813, 39551.244000, 36926, 24698.132236,results/ablation_20251215_144937/params_M57_ML7_EFC1400_EFS550/full/run_stdout_1.log,1
heap,0,0,0,0,1,0,0,0,57,7,1400,550,4506.626050,4512.483240, 406.581710, 0.994670, 2.459530, 39551.244000, 36926, 24595.302152,results/ablation_20251215_144937/params_M57_ML7_EFC1400_EFS550/heap/run_stdout_1.log,1
no_adaptive_ep,0,0,0,0,0,0,0,1,57,7,1400,550,4483.835834,4489.711825, 354.928678, 0.994660, 2.817467, 37156.834100, 34646, 28174.674566,results/ablation_20251215_144937/params_M57_ML7_EFC1400_EFS550/no_adaptive_ep/run_stdout_1.log,1
dynamic_with_opts,0,0,0,0,0,1,0,0,57,7,1400,600,4590.405278,4595.592509, 333.665003, 0.995630, 2.997018, 42450.271100, 39000, 29970.179446,results/ablation_20251215_144937/params_M57_ML7_EFC1400_EFS600/dynamic_with_opts/run_stdout_1.log,1
full,0,0,0,0,0,0,0,0,57,7,1400,600,4558.854465,4564.475538, 373.099281, 0.995630, 2.680252, 42450.271100, 39000, 26802.517500,results/ablation_20251215_144937/params_M57_ML7_EFC1400_EFS600/full/run_stdout_1.log,1
heap,0,0,0,0,1,0,0,0,57,7,1400,600,4610.361371,4615.502991, 375.474458, 0.995630, 2.663297, 42450.271100, 39000, 26632.970059,results/ablation_20251215_144937/params_M57_ML7_EFC1400_EFS600/heap/run_stdout_1.log,1
no_adaptive_ep,0,0,0,0,0,0,0,1,57,7,1400,600,4549.811053,4555.228911, 373.959194, 0.995620, 2.674089, 40053.032000, 36719, 26740.885543,results/ablation_20251215_144937/params_M57_ML7_EFC1400_EFS600/no_adaptive_ep/run_stdout_1.log,1
dynamic_with_opts,0,0,0,0,0,1,0,0,57,7,1400,650,4537.665308,4543.544019, 347.780114, 0.996390, 2.875380, 45306.000300, 41372, 28753.800444,results/ablation_20251215_144937/params_M57_ML7_EFC1400_EFS650/dynamic_with_opts/run_stdout_1.log,1
full,0,0,0,0,0,0,0,0,57,7,1400,650,4557.595196,4562.753673, 345.457803, 0.996390, 2.894710, 45306.000300, 41372, 28947.095437,results/ablation_20251215_144937/params_M57_ML7_EFC1400_EFS650/full/run_stdout_1.log,1
heap,0,0,0,0,1,0,0,0,57,7,1400,650,4527.851267,4534.046808, 345.868292, 0.996390, 2.891274, 45306.000300, 41372, 28912.739975,results/ablation_20251215_144937/params_M57_ML7_EFC1400_EFS650/heap/run_stdout_1.log,1
no_adaptive_ep,0,0,0,0,0,0,0,1,57,7,1400,650,4598.612635,4605.186803, 346.417971, 0.996380, 2.886686, 42905.687000, 39094, 28866.862698,results/ablation_20251215_144937/params_M57_ML7_EFC1400_EFS650/no_adaptive_ep/run_stdout_1.log,1
dynamic_with_opts,0,0,0,0,0,1,0,0,57,7,1400,700,4547.874644,4553.746270, 327.743048, 0.996880, 3.051171, 48123.730700, 43609, 30511.707446,results/ablation_20251215_144937/params_M57_ML7_EFC1400_EFS700/dynamic_with_opts/run_stdout_1.log,1
full,0,0,0,0,0,0,0,0,57,7,1400,700,4523.338235,4528.540966, 292.556460, 0.996880, 3.418144, 48123.730700, 43609, 34181.436348,results/ablation_20251215_144937/params_M57_ML7_EFC1400_EFS700/full/run_stdout_1.log,1
heap,0,0,0,0,1,0,0,0,57,7,1400,700,4530.364422,4536.361180, 323.925130, 0.996880, 3.087133, 48123.730700, 43609, 30871.331245,results/ablation_20251215_144937/params_M57_ML7_EFC1400_EFS700/heap/run_stdout_1.log,1
no_adaptive_ep,0,0,0,0,0,0,0,1,57,7,1400,700,4587.466430,4593.494548, 325.260214, 0.996890, 3.074461, 45720.338600, 41327, 30744.614796,results/ablation_20251215_144937/params_M57_ML7_EFC1400_EFS700/no_adaptive_ep/run_stdout_1.log,1
dynamic_with_opts,0,0,0,0,0,1,0,0,57,7,1400,750,4539.023477,4544.855820, 305.598121, 0.997350, 3.272271, 50897.238700, 45740, 32722.714241,results/ablation_20251215_144937/params_M57_ML7_EFC1400_EFS750/dynamic_with_opts/run_stdout_1.log,1
full,0,0,0,0,0,0,0,0,57,7,1400,750,4568.346699,4574.224041, 302.585988, 0.997350, 3.304846, 50897.238700, 45740, 33048.456918,results/ablation_20251215_144937/params_M57_ML7_EFC1400_EFS750/full/run_stdout_1.log,1
heap,0,0,0,0,1,0,0,0,57,7,1400,750,4535.563260,4541.546298, 270.379947, 0.997350, 3.698499, 50897.238700, 45740, 36984.991307,results/ablation_20251215_144937/params_M57_ML7_EFC1400_EFS750/heap/run_stdout_1.log,1
no_adaptive_ep,0,0,0,0,0,0,0,1,57,7,1400,750,4591.429162,4596.929656, 309.941665, 0.997350, 3.226414, 48491.944300, 43458, 32264.135948,results/ablation_20251215_144937/params_M57_ML7_EFC1400_EFS750/no_adaptive_ep/run_stdout_1.log,1
dynamic_with_opts,0,0,0,0,0,1,0,0,57,7,1400,800,4599.247484,4605.022774, 286.322002, 0.997830, 3.492571, 53637.578500, 47767, 34925.712719,results/ablation_20251215_144937/params_M57_ML7_EFC1400_EFS800/dynamic_with_opts/run_stdout_1.log,1
full,0,0,0,0,0,0,0,0,57,7,1400,800,4601.378753,4607.335498, 287.032348, 0.997830, 3.483928, 53637.578500, 47767, 34839.278770,results/ablation_20251215_144937/params_M57_ML7_EFC1400_EFS800/full/run_stdout_1.log,1
heap,0,0,0,0,1,0,0,0,57,7,1400,800,4603.138638,4608.440136, 261.202526, 0.997830, 3.828447, 53637.578500, 47767, 38284.468996,results/ablation_20251215_144937/params_M57_ML7_EFC1400_EFS800/heap/run_stdout_1.log,1
no_adaptive_ep,0,0,0,0,0,0,0,1,57,7,1400,800,4655.418157,4661.368013, 286.296695, 0.997830, 3.492880, 51230.284100, 45486, 34928.800013,results/ablation_20251215_144937/params_M57_ML7_EFC1400_EFS800/no_adaptive_ep/run_stdout_1.log,1
dynamic_with_opts,0,0,0,0,0,1,0,0,57,7,1400,850,4534.382783,4540.469708, 269.521281, 0.998030, 3.710282, 56341.136900, 49843, 37102.821640,results/ablation_20251215_144937/params_M57_ML7_EFC1400_EFS850/dynamic_with_opts/run_stdout_1.log,1
full,0,0,0,0,0,0,0,0,57,7,1400,850,4602.820151,4608.877460, 269.429618, 0.998030, 3.711544, 56341.136900, 49843, 37115.444323,results/ablation_20251215_144937/params_M57_ML7_EFC1400_EFS850/full/run_stdout_1.log,1
heap,0,0,0,0,1,0,0,0,57,7,1400,850,4599.479843,4605.304712, 243.820548, 0.998030, 4.101377, 56341.136900, 49843, 41013.770483,results/ablation_20251215_144937/params_M57_ML7_EFC1400_EFS850/heap/run_stdout_1.log,1
no_adaptive_ep,0,0,0,0,0,0,0,1,57,7,1400,850,4687.648944,4694.037711, 273.599681, 0.998030, 3.654975, 53931.219700, 47557, 36549.750237,results/ablation_20251215_144937/params_M57_ML7_EFC1400_EFS850/no_adaptive_ep/run_stdout_1.log,1
dynamic_with_opts,0,0,0,0,0,1,0,0,57,7,1400,900,4602.345052,4608.587306, 254.542746, 0.998260, 3.928613, 59017.427000, 51766, 39286.132248,results/ablation_20251215_144937/params_M57_ML7_EFC1400_EFS900/dynamic_with_opts/run_stdout_1.log,1
full,0,0,0,0,0,0,0,0,57,7,1400,900,4609.185496,4615.120369, 253.678486, 0.998260, 3.941998, 59017.427000, 51766, 39419.976650,results/ablation_20251215_144937/params_M57_ML7_EFC1400_EFS900/full/run_stdout_1.log,1
heap,0,0,0,0,1,0,0,0,57,7,1400,900,4608.516083,4615.004488, 232.245716, 0.998260, 4.305784, 59017.427000, 51766, 43057.844804,results/ablation_20251215_144937/params_M57_ML7_EFC1400_EFS900/heap/run_stdout_1.log,1
no_adaptive_ep,0,0,0,0,0,0,0,1,57,7,1400,900,4652.863597,4659.196162, 259.725646, 0.998260, 3.850217, 56605.580400, 49481, 38502.166295,results/ablation_20251215_144937/params_M57_ML7_EFC1400_EFS900/no_adaptive_ep/run_stdout_1.log,1
dynamic_with_opts,0,0,0,0,0,1,0,0,57,7,1400,950,4616.479066,4622.530329, 244.377892, 0.998480, 4.092023, 61659.139000, 53843, 40920.231831,results/ablation_20251215_144937/params_M57_ML7_EFC1400_EFS950/dynamic_with_opts/run_stdout_1.log,1
full,0,0,0,0,0,0,0,0,57,7,1400,950,4571.413187,4577.716902, 241.699362, 0.998480, 4.137371, 61659.139000, 53843, 41373.712872,results/ablation_20251215_144937/params_M57_ML7_EFC1400_EFS950/full/run_stdout_1.log,1
heap,0,0,0,0,1,0,0,0,57,7,1400,950,4585.129030,4591.892622, 220.568875, 0.998480, 4.533731, 61659.139000, 53843, 45337.312483,results/ablation_20251215_144937/params_M57_ML7_EFC1400_EFS950/heap/run_stdout_1.log,1
no_adaptive_ep,0,0,0,0,0,0,0,1,57,7,1400,950,4519.863468,4525.375530, 244.473011, 0.998480, 4.090431, 59245.633700, 51557, 40904.310729,results/ablation_20251215_144937/params_M57_ML7_EFC1400_EFS950/no_adaptive_ep/run_stdout_1.log,1
