m,max_layer,efc,efs,avg_recall,avg_time_ms
35,12,528,2000,0.99791,5.381444
35,12,528,1040,0.99281,2.757496
35,12,528,560,0.98136,1.519581
35,12,528,800,0.9889,2.134527
35,12,528,920,0.99119,2.403781
35,12,528,860,0.99013,2.263515
35,12,528,830,0.9896,2.200279
35,12,528,845,0.98982,2.583366
35,12,528,853,0.99,2.253305
35,12,528,849,0.98989,2.251558
35,12,528,851,0.98992,2.226619
35,12,528,852,0.98996,2.260543
35,12,528,853,0.99,2.253305
62,7,479,2000,0.99857,5.588157
62,7,479,1040,0.9945,2.979119
62,7,479,560,0.9852,1.640757
62,7,479,800,0.99163,2.470647
62,7,479,680,0.98923,1.999058
62,7,479,740,0.9906,2.141405
62,7,479,710,0.98997,2.048433
62,7,479,725,0.9903,2.092863
62,7,479,718,0.99008,2.09744
62,7,479,714,0.99001,2.358226
62,7,479,712,0.98998,2.061246
62,7,479,713,0.99,2.056185
62,7,479,713,0.99,2.056185
64,7,623,2000,0.99886,5.997666
64,7,623,1040,0.99588,3.244223
64,7,623,560,0.98782,1.774426
64,7,623,800,0.99349,2.494722
64,7,623,680,0.99144,2.462166
64,7,623,620,0.98976,1.983283
64,7,623,650,0.99068,2.031515
64,7,623,635,0.99027,2.023978
64,7,623,628,0.99003,1.984766
64,7,623,624,0.98991,1.994263
64,7,623,626,0.98997,1.994428
64,7,623,627,0.98999,2.321271
64,7,623,628,0.99003,1.984766
45,5,623,2000,0.99864,6.055927
45,5,623,1040,0.99523,3.076048
45,5,623,560,0.98613,1.72817
45,5,623,800,0.99241,2.445093
45,5,623,680,0.99025,2.036547
45,5,623,620,0.98849,1.87671
45,5,623,650,0.98949,2.277439
45,5,623,665,0.9899,2.024156
45,5,623,673,0.99009,2.025861
45,5,623,669,0.99002,2.058468
45,5,623,667,0.98996,2.014722
45,5,623,668,0.98998,2.046553
45,5,623,673,0.99009,2.025861
56,11,541,2000,0.99867,6.041929
56,11,541,1040,0.99509,3.036866
56,11,541,560,0.98603,1.699032
56,11,541,800,0.99239,2.342873
56,11,541,680,0.99012,2.020862
56,11,541,620,0.98829,2.152
56,11,541,650,0.98934,1.936011
56,11,541,665,0.98968,1.993399
56,11,541,673,0.98994,2.020794
56,11,541,677,0.99003,2.03968
56,11,541,675,0.99,2.056076
56,11,541,674,0.98995,2.028182
56,11,541,680,0.99012,2.020862
57,10,607,2000,0.99876,5.97928
57,10,607,1040,0.99564,3.598143
57,10,607,560,0.98726,1.757561
57,10,607,800,0.99316,2.475841
57,10,607,680,0.99109,2.056691
57,10,607,620,0.98936,1.963018
57,10,607,650,0.99029,2.022225
57,10,607,635,0.98987,1.977895
57,10,607,643,0.99012,2.2962
57,10,607,639,0.99,1.999185
57,10,607,637,0.9899,1.9953
57,10,607,638,0.98996,1.975014
57,10,607,639,0.99,1.999185
61,4,645,2000,0.99887,6.080937
61,4,645,1040,0.99602,3.231184
61,4,645,560,0.98782,2.129245
61,4,645,800,0.99359,2.543303
61,4,645,680,0.99149,2.144738
61,4,645,620,0.98976,1.975707
61,4,645,650,0.99067,2.117798
61,4,645,635,0.99023,2.026581
61,4,645,628,0.99004,2.003295
61,4,645,624,0.98987,2.296304
61,4,645,626,0.98996,1.990896
61,4,645,627,0.99001,1.991079
61,4,645,627,0.99001,1.991079
50,5,630,2000,0.99882,6.037107
50,5,630,1040,0.99559,3.174621
50,5,630,560,0.98706,1.768377
50,5,630,800,0.99306,2.861569
50,5,630,680,0.99097,2.128151
50,5,630,620,0.98914,1.928504
50,5,630,650,0.99016,2.018876
50,5,630,635,0.98963,1.982839
50,5,630,643,0.98993,1.985017
50,5,630,647,0.99003,2.019392
50,5,630,645,0.98999,2.322274
50,5,630,646,0.99003,2.036346
50,5,630,650,0.99016,2.018876
60,13,317,2000,0.99716,5.163594
60,13,317,1040,0.99126,2.602161
60,13,317,560,0.97831,1.448636
60,13,317,800,0.98685,2.041311
60,13,317,920,0.98936,2.326829
60,13,317,980,0.9903,2.456226
60,13,317,950,0.98984,2.369522
60,13,317,965,0.99006,2.42827
60,13,317,958,0.98994,2.445767
60,13,317,962,0.99,2.393282
60,13,317,960,0.98996,2.401129
60,13,317,961,0.98997,2.412275
60,13,317,962,0.99,2.393282
52,9,549,2000,0.99866,6.044459
52,9,549,1040,0.995,3.064199
52,9,549,560,0.9859,1.661882
52,9,549,800,0.99226,2.350491
52,9,549,680,0.98994,2.032123
52,9,549,740,0.99123,2.493616
52,9,549,710,0.99062,2.136181
52,9,549,695,0.99029,2.036875
52,9,549,688,0.99013,2.062861
52,9,549,684,0.99007,2.055456
52,9,549,682,0.99001,2.050196
52,9,549,681,0.98996,2.063085
52,9,549,695,0.99029,2.036875
63,3,547,2000,0.99875,5.882499
63,3,547,1040,0.99522,3.109805
63,3,547,560,0.98641,1.706271
63,3,547,800,0.99259,2.393228
63,3,547,680,0.99038,2.384495
63,3,547,620,0.98857,1.893285
63,3,547,650,0.98958,1.99376
63,3,547,665,0.98997,2.030106
63,3,547,673,0.99013,2.042437
63,3,547,669,0.99007,2.041116
63,3,547,667,0.99001,2.020563
63,3,547,666,0.98998,2.379995
63,3,547,667,0.99001,2.020563
55,11,430,2000,0.99821,5.39628
55,11,430,1040,0.99358,2.869057
55,11,430,560,0.98305,1.868044
55,11,430,800,0.99032,2.239848
55,11,430,680,0.98762,1.893159
55,11,430,740,0.98914,2.050927
55,11,430,770,0.98967,2.114369
55,11,430,785,0.98996,2.180849
55,11,430,793,0.99012,2.16776
55,11,430,789,0.99002,2.483155
55,11,430,787,0.98998,2.178027
55,11,430,788,0.98999,2.173909
55,11,430,793,0.99012,2.16776
63,6,605,2000,0.77815,6.135603
63,6,605,2000,0.77815,6.135603
55,1,683,2000,0.99905,6.131784
55,1,683,1040,0.99633,3.277951
55,1,683,560,0.98828,1.947877
55,1,683,800,0.99393,2.575939
55,1,683,680,0.99189,2.400812
55,1,683,620,0.99019,2.016517
55,1,683,590,0.98918,1.923059
55,1,683,605,0.98974,1.947454
55,1,683,613,0.98997,2.325338
55,1,683,617,0.9901,2.023235
55,1,683,615,0.99003,1.992636
55,1,683,614,0.99001,1.999769
55,1,683,615,0.99003,1.992636
63,3,661,2000,0.9989,7.079867
63,3,661,1040,0.99609,3.38596
63,3,661,560,0.98825,1.902446
63,3,661,800,0.99379,2.590216
63,3,661,680,0.99169,2.246853
63,3,661,620,0.9901,2.061393
63,3,661,590,0.98906,2.345606
63,3,661,605,0.98964,2.026955
63,3,661,613,0.98992,2.00776
63,3,661,617,0.99,2.061826
63,3,661,615,0.98998,2.047504
