variant,csr,prefetch,simd,pruning,heap,flat_index,reorder,M,ML,EFC,EFS,build_time_internal_ms,build_time_local_ms,queries_per_sec,avg_recall,avg_query_time_ms,avg_dists,last_query_dists,total_query_time_ms,log_file,run_index
no_simd,0,0,1,0,0,0,0,43,10,735,500,3617.032708,3621.722788, 574.531077, 0.984620, 1.740550, 22174.847500, 18210, 17405.498848,results/ablation_20251204_155205/params_M43_ML10_EFC735_EFS500/no_simd/run_stdout_1.log,1
nothing,1,1,1,1,1,1,1,43,10,735,500,3694.568509,4777.559788, 384.146998, 0.000000, 2.603170, 22194.669100, 18568, 26031.701537,results/ablation_20251204_155205/params_M43_ML10_EFC735_EFS500/nothing/run_stdout_1.log,1
dynamic_struct,0,0,0,0,0,1,0,43,10,735,600,3613.299138,3618.169359, 581.585026, 0.988320, 1.719439, 26042.405100, 20858, 17194.390425,results/ablation_20251204_155205/params_M43_ML10_EFC735_EFS600/dynamic_struct/run_stdout_1.log,1
dynamic_with_opts,0,0,0,0,0,1,0,43,10,735,600,3805.580588,3812.262054, 542.450772, 0.988320, 1.843485, 26042.405100, 20858, 18434.852553,results/ablation_20251204_155205/params_M43_ML10_EFC735_EFS600/dynamic_with_opts/run_stdout_1.log,1
full,0,0,0,0,0,0,0,43,10,735,600,3750.961079,3755.969902, 579.638607, 0.988320, 1.725213, 26042.405100, 20858, 17252.128972,results/ablation_20251204_155205/params_M43_ML10_EFC735_EFS600/full/run_stdout_1.log,1
heap,0,0,0,0,1,0,0,43,10,735,600,3616.992869,3621.676416, 584.341787, 0.988320, 1.711327, 26042.405100, 20858, 17113.272110,results/ablation_20251204_155205/params_M43_ML10_EFC735_EFS600/heap/run_stdout_1.log,1
no_csr,1,0,0,0,0,0,0,43,10,735,600,3602.109372,4695.988714, 288.665099, 0.000000, 3.464222, 26061.864300, 21118, 34642.220422,results/ablation_20251204_155205/params_M43_ML10_EFC735_EFS600/no_csr/run_stdout_1.log,1
no_prefetch,0,1,0,0,0,0,0,43,10,735,600,3669.502226,3674.506530, 476.058483, 0.988320, 2.100582, 26042.405100, 20858, 21005.822510,results/ablation_20251204_155205/params_M43_ML10_EFC735_EFS600/no_prefetch/run_stdout_1.log,1
no_pruning,0,0,0,1,0,0,0,43,10,735,600,3638.050425,3643.224391, 584.297000, 0.988320, 1.711458, 26042.405100, 20858, 17114.583848,results/ablation_20251204_155205/params_M43_ML10_EFC735_EFS600/no_pruning/run_stdout_1.log,1
no_reorder,0,0,0,0,0,0,1,43,10,735,600,3696.219581,3700.948765, 557.297464, 0.988320, 1.794374, 26042.405100, 20858, 17943.738586,results/ablation_20251204_155205/params_M43_ML10_EFC735_EFS600/no_reorder/run_stdout_1.log,1
no_simd,0,0,1,0,0,0,0,43,10,735,600,3634.699232,3639.687296, 574.654268, 0.988320, 1.740177, 26042.405100, 20858, 17401.767572,results/ablation_20251204_155205/params_M43_ML10_EFC735_EFS600/no_simd/run_stdout_1.log,1
nothing,1,1,1,1,1,1,1,43,10,735,600,3613.142231,4716.189558, 318.375578, 0.000000, 3.140944, 26061.864300, 21118, 31409.444364,results/ablation_20251204_155205/params_M43_ML10_EFC735_EFS600/nothing/run_stdout_1.log,1
dynamic_struct,0,0,0,0,0,1,0,43,10,735,625,3676.981031,3681.785257, 541.926470, 0.989140, 1.845269, 26996.279200, 21524, 18452.687874,results/ablation_20251204_155205/params_M43_ML10_EFC735_EFS625/dynamic_struct/run_stdout_1.log,1
dynamic_with_opts,0,0,0,0,0,1,0,43,10,735,625,3761.795801,3766.719413, 545.266216, 0.989140, 1.833967, 26996.279200, 21524, 18339.665477,results/ablation_20251204_155205/params_M43_ML10_EFC735_EFS625/dynamic_with_opts/run_stdout_1.log,1
full,0,0,0,0,0,0,0,43,10,735,625,3623.724997,3628.480982, 541.618387, 0.989140, 1.846318, 26996.279200, 21524, 18463.184112,results/ablation_20251204_155205/params_M43_ML10_EFC735_EFS625/full/run_stdout_1.log,1
heap,0,0,0,0,1,0,0,43,10,735,625,3742.834089,3747.780944, 530.211958, 0.989140, 1.886038, 26996.279200, 21524, 18860.381868,results/ablation_20251204_155205/params_M43_ML10_EFC735_EFS625/heap/run_stdout_1.log,1
no_csr,1,0,0,0,0,0,0,43,10,735,625,3748.772224,4856.379681, 318.841228, 0.000000, 3.136357, 27015.865800, 21772, 31363.572636,results/ablation_20251204_155205/params_M43_ML10_EFC735_EFS625/no_csr/run_stdout_1.log,1
no_prefetch,0,1,0,0,0,0,0,43,10,735,625,3891.958450,3897.051292, 449.494174, 0.989140, 2.224723, 26996.279200, 21524, 22247.229387,results/ablation_20251204_155205/params_M43_ML10_EFC735_EFS625/no_prefetch/run_stdout_1.log,1
no_pruning,0,0,0,1,0,0,0,43,10,735,625,4160.291978,4167.167432, 455.347619, 0.989140, 2.196124, 26996.279200, 21524, 21961.243660,results/ablation_20251204_155205/params_M43_ML10_EFC735_EFS625/no_pruning/run_stdout_1.log,1
no_reorder,0,0,0,0,0,0,1,43,10,735,625,3683.534598,3688.511630, 543.543147, 0.989140, 1.839780, 26996.279200, 21524, 18397.803465,results/ablation_20251204_155205/params_M43_ML10_EFC735_EFS625/no_reorder/run_stdout_1.log,1
no_simd,0,0,1,0,0,0,0,43,10,735,625,3629.000678,3633.761281, 545.127679, 0.989140, 1.834433, 26996.279200, 21524, 18344.326257,results/ablation_20251204_155205/params_M43_ML10_EFC735_EFS625/no_simd/run_stdout_1.log,1
nothing,1,1,1,1,1,1,1,43,10,735,625,3681.457170,4783.495603, 299.557234, 0.000000, 3.338260, 27015.865800, 21772, 33382.602216,results/ablation_20251204_155205/params_M43_ML10_EFC735_EFS625/nothing/run_stdout_1.log,1
dynamic_struct,0,0,0,0,0,1,0,43,10,735,648,3843.639591,3849.990712, 514.542845, 0.989910, 1.943473, 27868.950000, 22089, 19434.727558,results/ablation_20251204_155205/params_M43_ML10_EFC735_EFS648/dynamic_struct/run_stdout_1.log,1
dynamic_with_opts,0,0,0,0,0,1,0,43,10,735,648,3731.308633,3736.630207, 515.285703, 0.989910, 1.940671, 27868.950000, 22089, 19406.709598,results/ablation_20251204_155205/params_M43_ML10_EFC735_EFS648/dynamic_with_opts/run_stdout_1.log,1
full,0,0,0,0,0,0,0,43,10,735,648,3658.553378,3663.295216, 459.266834, 0.989910, 2.177383, 27868.950000, 22089, 21773.834414,results/ablation_20251204_155205/params_M43_ML10_EFC735_EFS648/full/run_stdout_1.log,1
heap,0,0,0,0,1,0,0,43,10,735,648,3830.727081,3835.938727, 507.029004, 0.989910, 1.972274, 27868.950000, 22089, 19722.737597,results/ablation_20251204_155205/params_M43_ML10_EFC735_EFS648/heap/run_stdout_1.log,1
no_csr,1,0,0,0,0,0,0,43,10,735,648,3694.956549,4787.711012, 315.607737, 0.000000, 3.168490, 27889.065700, 22338, 31684.901331,results/ablation_20251204_155205/params_M43_ML10_EFC735_EFS648/no_csr/run_stdout_1.log,1
no_prefetch,0,1,0,0,0,0,0,43,10,735,648,3722.660710,3727.768700, 438.583240, 0.989910, 2.280069, 27868.950000, 22089, 22800.688875,results/ablation_20251204_155205/params_M43_ML10_EFC735_EFS648/no_prefetch/run_stdout_1.log,1
no_pruning,0,0,0,1,0,0,0,43,10,735,648,3751.495411,3756.293855, 503.781287, 0.989910, 1.984988, 27868.950000, 22089, 19849.883780,results/ablation_20251204_155205/params_M43_ML10_EFC735_EFS648/no_pruning/run_stdout_1.log,1
no_reorder,0,0,0,0,0,0,1,43,10,735,648,3916.873397,3922.254323, 491.419023, 0.989910, 2.034923, 27868.950000, 22089, 20349.232585,results/ablation_20251204_155205/params_M43_ML10_EFC735_EFS648/no_reorder/run_stdout_1.log,1
no_simd,0,0,1,0,0,0,0,43,10,735,648,3685.234101,3690.018179, 511.484817, 0.989910, 1.955092, 27868.950000, 22089, 19550.922454,results/ablation_20251204_155205/params_M43_ML10_EFC735_EFS648/no_simd/run_stdout_1.log,1
nothing,1,1,1,1,1,1,1,43,10,735,648,3840.056892,4957.470022, 278.936028, 0.000000, 3.585051, 27889.065700, 22338, 35850.514066,results/ablation_20251204_155205/params_M43_ML10_EFC735_EFS648/nothing/run_stdout_1.log,1
dynamic_struct,0,0,0,0,0,1,0,43,10,735,660,3815.972356,3821.532741, 469.947300, 0.990380, 2.127898, 28322.697700, 22469, 21278.981717,results/ablation_20251204_155205/params_M43_ML10_EFC735_EFS660/dynamic_struct/run_stdout_1.log,1
dynamic_with_opts,0,0,0,0,0,1,0,43,10,735,660,3855.071380,3860.084380, 485.510019, 0.990380, 2.059690, 28322.697700, 22469, 20596.897296,results/ablation_20251204_155205/params_M43_ML10_EFC735_EFS660/dynamic_with_opts/run_stdout_1.log,1
full,0,0,0,0,0,0,0,43,10,735,660,3887.265333,3892.304162, 486.815374, 0.990380, 2.054167, 28322.697700, 22469, 20541.668436,results/ablation_20251204_155205/params_M43_ML10_EFC735_EFS660/full/run_stdout_1.log,1
