timestamp,trial_id,m,max_layer,efc,efs,K,avg_recall,avg_time_ms,build_time_ms,reward_score,status,,,,,,,,,,,
2025-11-28T06:37:50.759265,216,52,18,826,488,10,0.98615,2.582482,1352641.223,387.8093834,COMPLETE,,,,,,,,,,,
2025-11-26T03:17:39.411674,57,31,16,469,704,3,0.98339,2.586261,386996.41,386.9675778,COMPLETE,,,,,,,,,,,
2025-11-27T13:50:13.567880,208,48,14,778,537,13,0.98753,2.617473,1203588.746,382.7708759,COMPLETE,,,,,,,,,,,
2025-11-26T04:10:33.161840,62,35,16,651,595,4,0.98449,2.633804,625587.6584,380.0979738,COMPLETE,,,,,,,,,,,
2025-11-27T09:52:17.511914,194,54,11,743,532,9,0.98748,2.641151,1175995.54,379.340805,COMPLETE,,,,,,,,,,,
2025-11-26T06:17:43.397283,76,45,16,454,578,6,0.98402,2.643465,454851.125,378.6633714,COMPLETE,,,,,,,,,,,
2025-11-26T10:25:09.971820,100,45,16,593,548,10,0.98529,2.655401,636302.0388,377.0899556,COMPLETE,,,,,,,,,,,
2025-11-28T06:53:15.842222,217,46,19,594,552,10,0.98555,2.684418,896562.5626,373.045226,COMPLETE,,,,,,,,,,,
2025-11-26T05:29:58.459549,71,36,16,556,600,5,0.98404,2.689843,545869.948,372.1429099,COMPLETE,,,,,,,,,,,
2025-11-27T14:59:43.517906,211,52,15,990,515,14,0.98866,2.695639,1618611.057,371.8055549,COMPLETE,,,,,,,,,,,
2025-11-28T05:02:34.431994,210,43,11,951,525,10,0.98714,2.69885,1503576.448,371.2121879,COMPLETE,,,,,,,,,,,
2025-11-26T14:06:23.134463,109,38,16,570,621,14,0.98615,2.721751,539641.7712,367.9955383,COMPLETE,,,,,,,,,,,
2025-11-27T01:17:34.939946,161,39,13,542,645,1,0.9867,2.724956,744193.7978,367.6184026,COMPLETE,,,,,,,,,,,
2025-11-26T22:24:43.129340,145,36,10,327,743,22,0.98257,2.73725,387324.8437,365.5571671,COMPLETE,,,,,,,,,,,
2025-11-28T03:59:23.002958,207,59,19,494,588,10,0.98637,2.746942,735185.3362,364.6481774,COMPLETE,,,,,,,,,,,
2025-11-27T22:33:54.485723,187,48,20,465,623,10,0.98632,2.756798,665038.5278,363.3416712,COMPLETE,,,,,,,,,,,
2025-11-26T20:46:48.588257,135,40,9,358,759,20,0.98586,2.805086,435076.4278,357.0513089,COMPLETE,,,,,,,,,,,
2025-11-26T00:02:10.148897,41,45,16,677,596,0,0.98797,2.821029,713031.8557,355.2475814,COMPLETE,,,,,,,,,,,
2025-11-27T06:54:36.873300,184,47,10,716,586,6,0.98843,2.837493,1093685.73,353.2367769,COMPLETE,,,,,,,,,,,
2025-11-26T02:20:10.492492,52,39,16,605,681,2,0.98887,2.846005,579245.6777,352.226727,COMPLETE,,,,,,,,,,,
2025-11-26T23:29:40.094137,150,64,4,247,793,23,0.98224,2.843581,287376.711,351.8632508,COMPLETE,,,,,,,,,,,
2025-11-28T03:33:30.584017,205,39,17,999,585,10,0.98828,2.858906,1513385.615,350.5821482,COMPLET2025-11-28T19:24:53.665780,199,48,4,600,300,10,857473.7869,-66.0,11.75382433,19149456.138,COMPLETE
2025-11-28T03:33:30.584017,1233,39,3,856,521,,0.985180,2.076844,1115670.413501,417,,,,,,,,,,,,
