STAMP,NUM_CENTROIDS,KMEANS_ITER,NPROBE,STATUS,ELAPSED_s,RECALL,AVG_QUERY_TIME_ms,INDEX_BUILD_TIME_s
c1600_i4_p1024,1600,4,1024,COMPILE_FAIL,0,NA,NA,NA
c2048_i4_p2,2048,4,2,COMPILE_FAIL,0,NA,NA,NA
c2048_i4_p16,2048,4,16,COMPILE_FAIL,0,NA,NA,NA
c2048_i4_p48,2048,4,48,COMPILE_FAIL,0,NA,NA,NA
c2048_i4_p64,2048,4,64,COMPILE_FAIL,0,NA,NA,NA
c2048_i4_p128,2048,4,128,COMPILE_FAIL,0,NA,NA,NA
c2048_i4_p256,2048,4,256,COMPILE_FAIL,0,NA,NA,NA
c2048_i4_p512,2048,4,512,COMPILE_FAIL,0,NA,NA,NA
c2048_i4_p1024,2048,4,1024,COMPILE_FAIL,0,NA,NA,NA
c4096_i4_p2,4096,4,2,COMPILE_FAIL,0,NA,NA,NA
c4096_i4_p16,4096,4,16,COMPILE_FAIL,0,NA,NA,NA
c4096_i4_p48,4096,4,48,COMPILE_FAIL,0,NA,NA,NA
c4096_i4_p64,4096,4,64,COMPILE_FAIL,0,NA,NA,NA
c4096_i4_p128,4096,4,128,COMPILE_FAIL,0,NA,NA,NA
c4096_i4_p256,4096,4,256,COMPILE_FAIL,0,NA,NA,NA
c4096_i4_p512,4096,4,512,COMPILE_FAIL,0,NA,NA,NA
c4096_i4_p1024,4096,4,1024,COMPILE_FAIL,0,NA,NA,NA
c32_i4_p2,32,4,2,COMPILE_FAIL,0,NA,NA,NA
c32_i4_p16,32,4,16,COMPILE_FAIL,0,NA,NA,NA
c32_i4_p48,32,4,48,COMPILE_FAIL,0,NA,NA,NA
c32_i4_p64,32,4,64,COMPILE_FAIL,0,NA,NA,NA
c32_i4_p128,32,4,128,COMPILE_FAIL,0,NA,NA,NA
c32_i4_p256,32,4,256,COMPILE_FAIL,0,NA,NA,NA
c32_i4_p512,32,4,512,COMPILE_FAIL,0,NA,NA,NA
c32_i4_p1024,32,4,1024,COMPILE_FAIL,0,NA,NA,NA
c32_i4_p2,32,4,2,COMPILE_FAIL,0,NA,NA,NA
c32_i4_p16,32,4,16,COMPILE_FAIL,0,NA,NA,NA
c32_i4_p48,32,4,48,COMPILE_FAIL,0,NA,NA,NA
c32_i4_p64,32,4,64,COMPILE_FAIL,0,NA,NA,NA
c32_i4_p128,32,4,128,COMPILE_FAIL,0,NA,NA,NA
c32_i4_p256,32,4,256,COMPILE_FAIL,0,NA,NA,NA
c32_i4_p512,32,4,512,COMPILE_FAIL,0,NA,NA,NA
c32_i4_p1024,32,4,1024,COMPILE_FAIL,0,NA,NA,NA
c64_i4_p2,64,4,2,COMPILE_FAIL,0,NA,NA,NA
c64_i4_p16,64,4,16,COMPILE_FAIL,0,NA,NA,NA
c64_i4_p48,64,4,48,COMPILE_FAIL,0,NA,NA,NA
c64_i4_p64,64,4,64,COMPILE_FAIL,0,NA,NA,NA
