timestamp,trial_number,m,max_layer,efc,efs,avg_recall,avg_time_ms,build_time_ms,score,status
2025-12-01T22:25:27.997302,34,60,19,740,183,0.9985430065586566,0.9681410693529278,937.5,0.001,FEASIBLE
2025-12-01T22:25:28.181214,35,44,8,251,369,1.0,0.6937321121008895,687.5,0.001,FEASIBLE
2025-12-01T22:25:28.360284,36,52,20,494,703,1.0,0.7025396941073618,812.5,0.001,FEASIBLE
2025-12-01T22:25:28.552088,37,32,15,766,1980,1.0,0.4352858058104377,500.0,0.001,FEASIBLE
2025-12-01T22:25:28.721164,38,24,7,653,1273,1.0,0.38097830484347994,375.0,0.001,FEASIBLE
2025-12-01T22:25:28.881405,39,36,14,443,1817,1.0,0.4726696082316601,562.5,0.001,FEASIBLE
2025-12-01T22:25:29.043072,40,28,9,356,1132,1.0,0.4189264700111681,437.5,0.001,FEASIBLE
2025-12-01T22:25:29.203699,41,32,19,586,1544,1.0,0.45595765714733194,500.0,0.001,FEASIBLE
2025-12-01T22:25:29.385240,42,20,17,984,1313,1.0,0.3445153778385776,312.5,0.001,FEASIBLE
2025-12-01T22:25:29.574129,43,44,18,763,1458,1.0,0.5741261743655913,687.5,0.001,FEASIBLE
2025-12-01T22:25:29.745956,44,40,16,810,1079,1.0,0.54882035966802,625.0,0.001,FEASIBLE
2025-12-01T22:25:29.911422,45,44,20,99,911,0.716531084712292,5.918148483756729,1000.0,273768.915287708,INFEASIBLE
2025-12-01T22:25:30.075767,46,32,18,711,384,1.0,0.5814620797113319,500.0,0.001,FEASIBLE
2025-12-01T22:25:30.249186,47,52,13,917,772,1.0,0.7030858692424722,812.5,0.001,FEASIBLE
2025-12-01T22:25:30.447366,48,40,19,627,597,1.0,0.6006843221382289,625.0,0.001,FEASIBLE
2025-12-01T22:25:30.639803,49,28,12,522,1213,1.0,0.41715419651350505,437.5,0.001,FEASIBLE
2025-12-01T22:25:30.806458,50,48,16,696,997,1.0,0.6283588370844577,750.0,0.001,FEASIBLE
2025-12-01T22:25:30.971680,51,16,9,95,1730,0.5707543389116403,7.863508700697754,1000.0,419545.66108835966,INFEASIBLE
2025-12-01T22:25:31.138563,52,24,8,148,1586,1.0,0.3642860415104472,375.0,0.001,FEASIBLE
2025-12-01T22:25:31.309790,53,20,10,259,1399,1.0,0.33447320614109816,312.5,0.001,FEASIBLE
2025-12-01T22:25:31.515567,54,60,10,866,1651,1.0,0.7223729129255412,937.5,0.001,FEASIBLE
2025-12-01T22:25:31.706683,55,24,7,212,1884,1.0,0.35180624255305504,375.0,0.001,FEASIBLE
2025-12-01T22:25:31.871077,56,36,7,579,184,0.9927412323478305,0.7252051098559612,562.5,0.001,FEASIBLE
2025-12-01T22:25:32.034573,57,28,18,381,523,1.0,0.5002853268083486,437.5,0.001,FEASIBLE
2025-12-01T22:25:32.205030,58,36,20,467,277,1.0,0.6515862403346198,562.5,0.001,FEASIBLE
2025-12-01T22:25:32.378651,59,16,6,778,427,0.7818475657164633,8.813770978895032,1000.0,208452.43428353666,INFEASIBLE
2025-12-01T22:25:32.574047,60,32,12,633,842,1.0,0.48838065206427783,500.0,0.001,FEASIBLE
2025-12-01T22:25:32.758928,61,56,8,140,651,1.0,0.7583598883216602,875.0,0.001,FEASIBLE
2025-12-01T22:25:32.932487,62,60,9,312,424,1.0,0.8358085681822841,937.5,0.001,FEASIBLE
2025-12-01T22:25:33.103367,63,64,8,184,570,1.0,0.8416494105377572,1000.0,0.001,FEASIBLE
2025-12-01T22:25:33.271996,64,52,15,258,293,1.0,0.8197546464129255,812.5,0.001,FEASIBLE
2025-12-01T22:25:33.496310,65,56,19,411,152,0.9975047005850707,0.9661297487273164,875.0,0.001,FEASIBLE
2025-12-01T22:25:33.760537,66,48,17,218,475,1.0,0.7193148512627681,750.0,0.001,FEASIBLE
2025-12-01T22:25:33.977704,67,40,9,147,327,0.9981956057190506,0.6740712736238119,625.0,0.001,FEASIBLE
2025-12-01T22:25:34.207408,68,52,11,346,235,1.0,0.8544273834444626,812.5,0.001,FEASIBLE
2025-12-01T22:25:34.404863,69,60,7,528,720,1.0,0.7913334220203116,937.5,0.001,FEASIBLE
2025-12-01T22:25:34.620610,70,28,14,738,137,0.9960295206799848,0.7153330026277467,437.5,0.001,FEASIBLE
2025-12-01T22:25:34.821453,71,24,10,470,665,1.0,0.43715505442036523,375.0,0.001,FEASIBLE
2025-12-01T22:25:35.016572,72,20,13,489,527,1.0,0.41754289584373705,312.5,0.001,FEASIBLE
2025-12-01T22:25:35.189447,73,44,15,444,787,1.0,0.6145510839679255,687.5,0.001,FEASIBLE
2025-12-01T22:25:35.360134,74,28,20,284,906,1.0,0.44529482020219463,437.5,0.001,FEASIBLE
2025-12-01T22:25:35.547020,75,32,19,562,383,1.0,0.5699858374632938,500.0,0.001,FEASIBLE
2025-12-01T22:25:35.714330,76,32,6,832,579,1.0,0.5273717465608272,500.0,0.001,FEASIBLE
2025-12-01T22:25:35.880608,77,36,9,679,643,1.0,0.5535939430251766,562.5,0.001,FEASIBLE
2025-12-01T22:25:36.052175,78,36,13,605,331,1.0,0.6430793138871761,562.5,0.001,FEASIBLE
2025-12-01T22:25:36.235034,79,44,16,383,411,1.0,0.6768055293985475,687.5,0.001,FEASIBLE
2025-12-01T22:25:36.422632,80,24,7,506,1192,1.0,0.3907425167152636,375.0,0.001,FEASIBLE
2025-12-01T22:25:36.625244,81,56,8,339,790,1.0,0.7417085929883585,875.0,0.001,FEASIBLE
2025-12-01T22:25:36.819603,82,40,8,405,486,1.0,0.626220138136031,625.0,0.001,FEASIBLE
2025-12-01T22:25:36.990607,83,28,18,441,621,1.0,0.48753106168915705,437.5,0.001,FEASIBLE
2025-12-01T22:25:37.171869,84,40,17,941,714,1.0,0.5856959046103373,625.0,0.001,FEASIBLE
2025-12-01T22:25:37.350510,85,64,20,391,1021,1.0,0.7974418182584407,1000.0,0.001,FEASIBLE
2025-12-01T22:25:37.537738,86,48,8,365,1066,1.0,0.6404715342974489,750.0,0.001,FEASIBLE
2025-12-01T22:25:37.736390,87,36,9,651,1737,1.0,0.48072169541117854,562.5,0.001,FEASIBLE
2025-12-01T22:25:37.909667,88,32,10,799,547,1.0,0.5409299633030304,500.0,0.001,FEASIBLE
2025-12-01T22:25:38.080301,89,40,19,278,941,1.0,0.5624373842771611,625.0,0.001,FEASIBLE
2025-12-01T22:25:38.259385,90,32,11,326,502,1.0,0.5471633158966573,500.0,0.001,FEASIBLE
2025-12-01T22:25:38.434255,91,44,18,116,208,1.0,0.782342494438315,687.5,0.001,FEASIBLE
2025-12-01T22:25:38.622150,92,28,17,546,85,0.9746202074641342,2.6523483833462036,500.0,15679.792535865701,INFEASIBLE
2025-12-01T22:25:38.828509,93,52,16,716,1412,1.0,0.6510621074859347,812.5,0.001,FEASIBLE
2025-12-01T22:25:39.000356,94,40,7,222,133,0.9993291497582523,0.8251984068824505,625.0,0.001,FEASIBLE
2025-12-01T22:25:39.174140,95,36,17,190,448,1.0,0.5945117023673169,562.5,0.001,FEASIBLE
