C,P,I,time_pred,recall_pred,P_C_ratio,score
3152,19,6,1.98,0.9664,0.006,0.4653
3152,21,6,1.98,0.9664,0.0067,0.4653
3152,23,6,1.98,0.9664,0.0073,0.4653
3168,17,6,1.98,0.9664,0.0054,0.4653
3168,19,6,1.98,0.9664,0.006,0.4653
3168,21,6,1.98,0.9664,0.0066,0.4653
3168,23,6,1.98,0.9664,0.0073,0.4653
3184,17,6,1.98,0.9664,0.0053,0.4653
3184,19,6,1.98,0.9664,0.006,0.4653
3184,21,6,1.98,0.9664,0.0066,0.4653
3184,23,6,1.98,0.9664,0.0072,0.4653
3200,17,6,1.98,0.9664,0.0053,0.4653
3200,19,6,1.98,0.9664,0.0059,0.4653
3200,21,6,1.98,0.9664,0.0066,0.4653
3200,23,6,1.98,0.9664,0.0072,0.4653
3216,17,6,1.98,0.9664,0.0053,0.4653
3216,19,6,1.98,0.9664,0.0059,0.4653
3216,21,6,1.98,0.9664,0.0065,0.4653
3216,23,6,1.98,0.9664,0.0072,0.4653
3232,17,6,1.98,0.9664,0.0053,0.4653
3232,19,6,1.98,0.9664,0.0059,0.4653
3232,21,6,1.98,0.9664,0.0065,0.4653
3232,23,6,1.98,0.9664,0.0071,0.4653
3248,17,6,1.98,0.9664,0.0052,0.4653
3248,19,6,1.98,0.9664,0.0058,0.4653
3248,21,6,1.98,0.9664,0.0065,0.4653
3248,23,6,1.98,0.9664,0.0071,0.4653
3264,17,6,1.98,0.9664,0.0052,0.4653
3264,19,6,1.98,0.9664,0.0058,0.4653
3264,21,6,1.98,0.9664,0.0064,0.4653
3264,23,6,1.98,0.9664,0.007,0.4653
3280,17,6,1.98,0.9664,0.0052,0.4653
3280,19,6,1.98,0.9664,0.0058,0.4653
3280,21,6,1.98,0.9664,0.0064,0.4653
3280,23,6,1.98,0.9664,0.007,0.4653
3296,17,6,1.98,0.9664,0.0052,0.4653
3296,19,6,1.98,0.9664,0.0058,0.4653
3296,21,6,1.98,0.9664,0.0064,0.4653
3296,23,6,1.98,0.9664,0.007,0.4653
3312,17,6,1.98,0.9664,0.0051,0.4653
3312,19,6,1.98,0.9664,0.0057,0.4653
3312,21,6,1.98,0.9664,0.0063,0.4653
3312,23,6,1.98,0.9664,0.0069,0.4653
3328,17,6,1.98,0.9664,0.0051,0.4653
3328,19,6,1.98,0.9664,0.0057,0.4653
3328,21,6,1.98,0.9664,0.0063,0.4653
3328,23,6,1.98,0.9664,0.0069,0.4653
3344,17,6,1.98,0.9664,0.0051,0.4653
3344,19,6,1.98,0.9664,0.0057,0.4653
3344,21,6,1.98,0.9664,0.0063,0.4653
3344,23,6,1.98,0.9664,0.0069,0.4653
3360,17,6,1.98,0.9664,0.0051,0.4653
3360,19,6,1.98,0.9664,0.0057,0.4653
3360,21,6,1.98,0.9664,0.0063,0.4653
3360,23,6,1.98,0.9664,0.0068,0.4653
3376,17,6,1.98,0.9664,0.005,0.4653
3376,19,6,1.98,0.9664,0.0056,0.4653
3376,21,6,1.98,0.9664,0.0062,0.4653
3376,23,6,1.98,0.9664,0.0068,0.4653
3392,17,6,1.98,0.9664,0.005,0.4653
3392,19,6,1.98,0.9664,0.0056,0.4653
3392,21,6,1.98,0.9664,0.0062,0.4653
3392,23,6,1.98,0.9664,0.0068,0.4653
3408,19,6,1.98,0.9664,0.0056,0.4653
3408,21,6,1.98,0.9664,0.0062,0.4653
3408,23,6,1.98,0.9664,0.0067,0.4653
3424,19,6,1.98,0.9664,0.0055,0.4653
3424,21,6,1.98,0.9664,0.0061,0.4653
3424,23,6,1.98,0.9664,0.0067,0.4653
3440,19,6,1.98,0.9664,0.0055,0.4653
3440,21,6,1.98,0.9664,0.0061,0.4653
3440,23,6,1.98,0.9664,0.0067,0.4653
3456,19,6,1.98,0.9664,0.0055,0.4653
3456,21,6,1.98,0.9664,0.0061,0.4653
3456,23,6,1.98,0.9664,0.0067,0.4653
3472,19,6,1.98,0.9664,0.0055,0.4653
3472,21,6,1.98,0.9664,0.006,0.4653
3472,23,6,1.98,0.9664,0.0066,0.4653
3488,19,6,1.98,0.9664,0.0054,0.4653
3488,21,6,1.98,0.9664,0.006,0.4653
3488,23,6,1.98,0.9664,0.0066,0.4653
3504,19,6,1.98,0.9664,0.0054,0.4653
3504,21,6,1.98,0.9664,0.006,0.4653
3504,23,6,1.98,0.9664,0.0066,0.4653
3520,19,6,1.98,0.9664,0.0054,0.4653
3520,21,6,1.98,0.9664,0.006,0.4653
3520,23,6,1.98,0.9664,0.0065,0.4653
3536,19,6,1.98,0.9664,0.0054,0.4653
3536,21,6,1.98,0.9664,0.0059,0.4653
3536,23,6,1.98,0.9664,0.0065,0.4653
3552,19,6,1.98,0.9664,0.0053,0.4653
3552,21,6,1.98,0.9664,0.0059,0.4653
3552,23,6,1.98,0.9664,0.0065,0.4653
3568,19,6,1.98,0.9664,0.0053,0.4653
3568,21,6,1.98,0.9664,0.0059,0.4653
3568,23,6,1.98,0.9664,0.0064,0.4653
3584,19,6,1.98,0.9664,0.0053,0.4653
3584,21,6,1.98,0.9664,0.0059,0.4653
3584,23,6,1.98,0.9664,0.0064,0.4653
3600,19,6,1.98,0.9647,0.0053,0.4645
3600,21,6,1.98,0.9647,0.0058,0.4645
3600,23,6,1.98,0.9647,0.0064,0.4645
3616,19,6,1.98,0.9647,0.0053,0.4645
3616,21,6,1.98,0.9647,0.0058,0.4645
3616,23,6,1.98,0.9647,0.0064,0.4645
3632,19,6,1.98,0.9647,0.0052,0.4645
3632,21,6,1.98,0.9647,0.0058,0.4645
3632,23,6,1.98,0.9647,0.0063,0.4645
3648,19,6,1.98,0.9647,0.0052,0.4645
3648,21,6,1.98,0.9647,0.0058,0.4645
3648,23,6,1.98,0.9647,0.0063,0.4645
3664,19,6,1.98,0.9647,0.0052,0.4645
3664,21,6,1.98,0.9647,0.0057,0.4645
3664,23,6,1.98,0.9647,0.0063,0.4645
3680,19,6,1.98,0.9647,0.0052,0.4645
3680,21,6,1.98,0.9647,0.0057,0.4645
3680,23,6,1.98,0.9647,0.0063,0.4645
3696,19,6,1.98,0.9647,0.0051,0.4645
3696,21,6,1.98,0.9647,0.0057,0.4645
3696,23,6,1.98,0.9647,0.0062,0.4645
3712,19,6,1.98,0.9647,0.0051,0.4645
3712,21,6,1.98,0.9647,0.0057,0.4645
3712,23,6,1.98,0.9647,0.0062,0.4645
3728,19,6,1.98,0.9647,0.0051,0.4645
3728,21,6,1.98,0.9647,0.0056,0.4645
3728,23,6,1.98,0.9647,0.0062,0.4645
3744,19,6,1.98,0.9647,0.0051,0.4645
3744,21,6,1.98,0.9647,0.0056,0.4645
3744,23,6,1.98,0.9647,0.0061,0.4645
3760,19,6,1.98,0.9647,0.0051,0.4645
3760,21,6,1.98,0.9647,0.0056,0.4645
3760,23,6,1.98,0.9647,0.0061,0.4645
3776,19,6,1.98,0.9647,0.005,0.4645
3776,21,6,1.98,0.9647,0.0056,0.4645
3776,23,6,1.98,0.9647,0.0061,0.4645
3792,19,6,1.98,0.9647,0.005,0.4645
3792,21,6,1.98,0.9647,0.0055,0.4645
3792,23,6,1.98,0.9647,0.0061,0.4645
3808,21,6,1.98,0.9647,0.0055,0.4645
3808,23,6,1.98,0.9647,0.006,0.4645
3824,21,6,1.98,0.9647,0.0055,0.4645
3824,23,6,1.98,0.9647,0.006,0.4645
3840,21,6,1.98,0.9647,0.0055,0.4645
3840,23,6,1.98,0.9647,0.006,0.4645
3856,21,6,1.98,0.9647,0.0054,0.4645
3856,23,6,1.98,0.9647,0.006,0.4645
3872,21,6,1.98,0.9647,0.0054,0.4645
3872,23,6,1.98,0.9647,0.0059,0.4645
3888,21,6,1.98,0.9647,0.0054,0.4645
3888,23,6,1.98,0.9647,0.0059,0.4645
3904,21,6,1.98,0.9647,0.0054,0.4645
3904,23,6,1.98,0.9647,0.0059,0.4645
3920,21,6,1.98,0.9647,0.0054,0.4645
3920,23,6,1.98,0.9647,0.0059,0.4645
3936,21,6,1.98,0.9647,0.0053,0.4645
3936,23,6,1.98,0.9647,0.0058,0.4645
3952,21,6,1.98,0.9647,0.0053,0.4645
3952,23,6,1.98,0.9647,0.0058,0.4645
3968,21,6,1.98,0.9647,0.0053,0.4645
3968,23,6,1.98,0.9647,0.0058,0.4645
3984,21,6,1.98,0.9647,0.0053,0.4645
3984,23,6,1.98,0.9647,0.0058,0.4645
4000,21,6,1.98,0.9647,0.0053,0.4645
4000,23,6,1.98,0.9647,0.0057,0.4645
4016,21,6,1.98,0.9647,0.0052,0.4645
4016,23,6,1.98,0.9647,0.0057,0.4645
4032,21,6,1.98,0.9647,0.0052,0.4645
4032,23,6,1.98,0.9647,0.0057,0.4645
4048,21,6,1.98,0.9647,0.0052,0.4645
4048,23,6,1.98,0.9647,0.0057,0.4645
4064,21,6,1.98,0.9647,0.0052,0.4645
4064,23,6,1.98,0.9647,0.0057,0.4645
4080,21,6,1.98,0.9647,0.0051,0.4645
4080,23,6,1.98,0.9647,0.0056,0.4645
4096,21,6,1.98,0.9647,0.0051,0.4645
4096,23,6,1.98,0.9647,0.0056,0.4645
4112,21,6,1.98,0.9647,0.0051,0.4645
4112,23,6,1.98,0.9647,0.0056,0.4645
4128,21,6,1.98,0.9647,0.0051,0.4645
4128,23,6,1.98,0.9647,0.0056,0.4645
4144,21,6,1.98,0.9647,0.0051,0.4645
4144,23,6,1.98,0.9647,0.0056,0.4645
4160,21,6,1.98,0.9647,0.005,0.4645
4160,23,6,1.98,0.9647,0.0055,0.4645
4176,21,6,1.98,0.9647,0.005,0.4645
4176,23,6,1.98,0.9647,0.0055,0.4645
4192,21,6,1.98,0.9647,0.005,0.4645
4192,23,6,1.98,0.9647,0.0055,0.4645
4208,23,6,1.98,0.9647,0.0055,0.4645
4224,23,6,1.98,0.9647,0.0054,0.4645
4240,23,6,1.98,0.9647,0.0054,0.4645
4256,23,6,1.98,0.9647,0.0054,0.4645
4272,23,6,1.98,0.9647,0.0054,0.4645
4288,23,6,1.98,0.9647,0.0054,0.4645
4304,23,6,1.98,0.9647,0.0053,0.4645
4320,23,6,1.98,0.9647,0.0053,0.4645
4336,23,6,1.98,0.9647,0.0053,0.4645
4352,23,6,1.98,0.9647,0.0053,0.4645
4368,23,6,1.98,0.9647,0.0053,0.4645
4384,23,6,1.98,0.9647,0.0052,0.4645
4400,23,6,1.98,0.9647,0.0052,0.4645
4416,23,6,1.98,0.9647,0.0052,0.4645
4432,23,6,1.98,0.9647,0.0052,0.4645
4448,23,6,1.98,0.9647,0.0052,0.4645
4464,23,6,1.98,0.9647,0.0052,0.4645
4480,23,6,1.98,0.9647,0.0051,0.4645
4496,23,6,1.98,0.9647,0.0051,0.4645
4512,23,6,1.98,0.9647,0.0051,0.4645
4528,23,6,1.98,0.9647,0.0051,0.4645
4544,23,6,1.98,0.9647,0.0051,0.4645
4560,23,6,1.98,0.9647,0.005,0.4645
4576,23,6,1.98,0.9647,0.005,0.4645
4592,23,6,1.98,0.9647,0.005,0.4645
2320,13,6,1.99,0.9664,0.0056,0.4623
2320,15,6,1.99,0.9664,0.0065,0.4623
2320,17,6,1.99,0.9664,0.0073,0.4623
2320,19,6,1.99,0.9664,0.0082,0.4623
2320,21,6,1.99,0.9664,0.0091,0.4623
2320,23,6,1.99,0.9664,0.0099,0.4623
2336,13,6,1.99,0.9664,0.0056,0.4623
2336,15,6,1.99,0.9664,0.0064,0.4623
2336,17,6,1.99,0.9664,0.0073,0.4623
2336,19,6,1.99,0.9664,0.0081,0.4623
2336,21,6,1.99,0.9664,0.009,0.4623
2336,23,6,1.99,0.9664,0.0098,0.4623
2352,13,6,1.99,0.9664,0.0055,0.4623
2352,15,6,1.99,0.9664,0.0064,0.4623
2352,17,6,1.99,0.9664,0.0072,0.4623
2352,19,6,1.99,0.9664,0.0081,0.4623
2352,21,6,1.99,0.9664,0.0089,0.4623
2352,23,6,1.99,0.9664,0.0098,0.4623
2368,13,6,1.99,0.9664,0.0055,0.4623
2368,15,6,1.99,0.9664,0.0063,0.4623
2368,17,6,1.99,0.9664,0.0072,0.4623
2368,19,6,1.99,0.9664,0.008,0.4623
2368,21,6,1.99,0.9664,0.0089,0.4623
2368,23,6,1.99,0.9664,0.0097,0.4623
2384,13,6,1.99,0.9664,0.0055,0.4623
2384,15,6,1.99,0.9664,0.0063,0.4623
2384,17,6,1.99,0.9664,0.0071,0.4623
2384,19,6,1.99,0.9664,0.008,0.4623
2384,21,6,1.99,0.9664,0.0088,0.4623
2384,23,6,1.99,0.9664,0.0096,0.4623
2400,13,6,1.99,0.9664,0.0054,0.4623
2400,15,6,1.99,0.9664,0.0063,0.4623
2400,17,6,1.99,0.9664,0.0071,0.4623
2400,19,6,1.99,0.9664,0.0079,0.4623
2400,21,6,1.99,0.9664,0.0088,0.4623
2400,23,6,1.99,0.9664,0.0096,0.4623
2416,13,6,1.99,0.9664,0.0054,0.4623
2416,15,6,1.99,0.9664,0.0062,0.4623
2416,17,6,1.99,0.9664,0.007,0.4623
2416,19,6,1.99,0.9664,0.0079,0.4623
2416,21,6,1.99,0.9664,0.0087,0.4623
2416,23,6,1.99,0.9664,0.0095,0.4623
2432,13,6,1.99,0.9664,0.0053,0.4623
2432,15,6,1.99,0.9664,0.0062,0.4623
2432,17,6,1.99,0.9664,0.007,0.4623
2432,19,6,1.99,0.9664,0.0078,0.4623
2432,21,6,1.99,0.9664,0.0086,0.4623
2432,23,6,1.99,0.9664,0.0095,0.4623
2448,13,6,1.99,0.9664,0.0053,0.4623
2448,15,6,1.99,0.9664,0.0061,0.4623
2448,17,6,1.99,0.9664,0.0069,0.4623
2448,19,6,1.99,0.9664,0.0078,0.4623
2448,21,6,1.99,0.9664,0.0086,0.4623
2448,23,6,1.99,0.9664,0.0094,0.4623
2464,13,6,1.99,0.9664,0.0053,0.4623
2464,15,6,1.99,0.9664,0.0061,0.4623
2464,17,6,1.99,0.9664,0.0069,0.4623
2464,19,6,1.99,0.9664,0.0077,0.4623
2464,21,6,1.99,0.9664,0.0085,0.4623
2464,23,6,1.99,0.9664,0.0093,0.4623
2480,13,6,1.99,0.9664,0.0052,0.4623
2480,15,6,1.99,0.9664,0.006,0.4623
2480,17,6,1.99,0.9664,0.0069,0.4623
2480,19,6,1.99,0.9664,0.0077,0.4623
2480,21,6,1.99,0.9664,0.0085,0.4623
2480,23,6,1.99,0.9664,0.0093,0.4623
2496,13,6,1.99,0.9664,0.0052,0.4623
2496,15,6,1.99,0.9664,0.006,0.4623
2496,17,6,1.99,0.9664,0.0068,0.4623
2496,19,6,1.99,0.9664,0.0076,0.4623
2496,21,6,1.99,0.9664,0.0084,0.4623
2496,23,6,1.99,0.9664,0.0092,0.4623
2512,13,6,1.99,0.9664,0.0052,0.4623
2512,15,6,1.99,0.9664,0.006,0.4623
2512,17,6,1.99,0.9664,0.0068,0.4623
2512,19,6,1.99,0.9664,0.0076,0.4623
2512,21,6,1.99,0.9664,0.0084,0.4623
2512,23,6,1.99,0.9664,0.0092,0.4623
2528,13,6,1.99,0.9664,0.0051,0.4623
2528,15,6,1.99,0.9664,0.0059,0.4623
2528,17,6,1.99,0.9664,0.0067,0.4623
2528,19,6,1.99,0.9664,0.0075,0.4623
2528,21,6,1.99,0.9664,0.0083,0.4623
2528,23,6,1.99,0.9664,0.0091,0.4623
2544,13,6,1.99,0.9664,0.0051,0.4623
2544,15,6,1.99,0.9664,0.0059,0.4623
2544,17,6,1.99,0.9664,0.0067,0.4623
2544,19,6,1.99,0.9664,0.0075,0.4623
2544,21,6,1.99,0.9664,0.0083,0.4623
2544,23,6,1.99,0.9664,0.009,0.4623
2560,13,6,1.99,0.9664,0.0051,0.4623
2560,15,6,1.99,0.9664,0.0059,0.4623
2560,17,6,1.99,0.9664,0.0066,0.4623
2560,19,6,1.99,0.9664,0.0074,0.4623
2560,21,6,1.99,0.9664,0.0082,0.4623
2560,23,6,1.99,0.9664,0.009,0.4623
2576,13,6,1.99,0.9664,0.005,0.4623
2576,15,6,1.99,0.9664,0.0058,0.4623
2576,17,6,1.99,0.9664,0.0066,0.4623
2576,19,6,1.99,0.9664,0.0074,0.4623
2576,21,6,1.99,0.9664,0.0082,0.4623
2576,23,6,1.99,0.9664,0.0089,0.4623
2592,13,6,1.99,0.9664,0.005,0.4623
2592,15,6,1.99,0.9664,0.0058,0.4623
2592,17,6,1.99,0.9664,0.0066,0.4623
2592,19,6,1.99,0.9664,0.0073,0.4623
2592,21,6,1.99,0.9664,0.0081,0.4623
2592,23,6,1.99,0.9664,0.0089,0.4623
2608,15,6,1.99,0.9664,0.0058,0.4623
2608,17,6,1.99,0.9664,0.0065,0.4623
2608,19,6,1.99,0.9664,0.0073,0.4623
2608,21,6,1.99,0.9664,0.0081,0.4623
2608,23,6,1.99,0.9664,0.0088,0.4623
2624,15,6,1.99,0.9664,0.0057,0.4623
2624,17,6,1.99,0.9664,0.0065,0.4623
2624,19,6,1.99,0.9664,0.0072,0.4623
2624,21,6,1.99,0.9664,0.008,0.4623
2624,23,6,1.99,0.9664,0.0088,0.4623
2640,15,6,1.99,0.9664,0.0057,0.4623
2640,17,6,1.99,0.9664,0.0064,0.4623
2640,19,6,1.99,0.9664,0.0072,0.4623
2640,21,6,1.99,0.9664,0.008,0.4623
2640,23,6,1.99,0.9664,0.0087,0.4623
2656,15,6,1.99,0.9664,0.0056,0.4623
2656,17,6,1.99,0.9664,0.0064,0.4623
2656,19,6,1.99,0.9664,0.0072,0.4623
2656,21,6,1.99,0.9664,0.0079,0.4623
2656,23,6,1.99,0.9664,0.0087,0.4623
2672,15,6,1.99,0.9664,0.0056,0.4623
2672,17,6,1.99,0.9664,0.0064,0.4623
2672,19,6,1.99,0.9664,0.0071,0.4623
2672,21,6,1.99,0.9664,0.0079,0.4623
2672,23,6,1.99,0.9664,0.0086,0.4623
2688,15,6,1.99,0.9664,0.0056,0.4623
2688,17,6,1.99,0.9664,0.0063,0.4623
2688,19,6,1.99,0.9664,0.0071,0.4623
2688,21,6,1.99,0.9664,0.0078,0.4623
2688,23,6,1.99,0.9664,0.0086,0.4623
2704,15,6,1.99,0.9664,0.0055,0.4623
2704,17,6,1.99,0.9664,0.0063,0.4623
2704,19,6,1.99,0.9664,0.007,0.4623
2704,21,6,1.99,0.9664,0.0078,0.4623
2704,23,6,1.99,0.9664,0.0085,0.4623
2720,15,6,1.99,0.9664,0.0055,0.4623
2720,17,6,1.99,0.9664,0.0063,0.4623
2720,19,6,1.99,0.9664,0.007,0.4623
2720,21,6,1.99,0.9664,0.0077,0.4623
2720,23,6,1.99,0.9664,0.0085,0.4623
2736,15,6,1.99,0.9664,0.0055,0.4623
2736,17,6,1.99,0.9664,0.0062,0.4623
2736,19,6,1.99,0.9664,0.0069,0.4623
2736,21,6,1.99,0.9664,0.0077,0.4623
2736,23,6,1.99,0.9664,0.0084,0.4623
2752,15,6,1.99,0.9664,0.0055,0.4623
2752,17,6,1.99,0.9664,0.0062,0.4623
2752,19,6,1.99,0.9664,0.0069,0.4623
2752,21,6,1.99,0.9664,0.0076,0.4623
2752,23,6,1.99,0.9664,0.0084,0.4623
2768,15,6,1.99,0.9664,0.0054,0.4623
2768,17,6,1.99,0.9664,0.0061,0.4623
2768,19,6,1.99,0.9664,0.0069,0.4623
2768,21,6,1.99,0.9664,0.0076,0.4623
2768,23,6,1.99,0.9664,0.0083,0.4623
2784,15,6,1.99,0.9664,0.0054,0.4623
2784,17,6,1.99,0.9664,0.0061,0.4623
2784,19,6,1.99,0.9664,0.0068,0.4623
2784,21,6,1.99,0.9664,0.0075,0.4623
2784,23,6,1.99,0.9664,0.0083,0.4623
2800,15,6,1.99,0.9664,0.0054,0.4623
2800,17,6,1.99,0.9664,0.0061,0.4623
2800,19,6,1.99,0.9664,0.0068,0.4623
2800,21,6,1.99,0.9664,0.0075,0.4623
2800,23,6,1.99,0.9664,0.0082,0.4623
2816,15,6,1.99,0.9664,0.0053,0.4623
2816,17,6,1.99,0.9664,0.006,0.4623
2816,19,6,1.99,0.9664,0.0067,0.4623
2816,21,6,1.99,0.9664,0.0075,0.4623
2816,23,6,1.99,0.9664,0.0082,0.4623
1808,11,6,2.15,0.9544,0.0061,0.4251
1808,13,6,2.15,0.9676,0.0072,0.4309
1808,15,6,2.15,0.9676,0.0083,0.4309
1808,17,6,2.15,0.9676,0.0094,0.4309
1808,19,6,2.15,0.9676,0.0105,0.4309
1808,21,6,2.15,0.9676,0.0116,0.4309
1808,23,6,2.15,0.9676,0.0127,0.4309
1824,11,6,2.15,0.9544,0.006,0.4251
1824,13,6,2.15,0.9676,0.0071,0.4309
1824,15,6,2.15,0.9676,0.0082,0.4309
1824,17,6,2.15,0.9676,0.0093,0.4309
1824,19,6,2.15,0.9676,0.0104,0.4309
1824,21,6,2.15,0.9676,0.0115,0.4309
1824,23,6,2.15,0.9676,0.0126,0.4309
1840,11,6,2.15,0.9544,0.006,0.4251
1840,13,6,2.15,0.9676,0.0071,0.4309
1840,15,6,2.15,0.9676,0.0082,0.4309
1840,17,6,2.15,0.9676,0.0092,0.4309
1840,19,6,2.15,0.9676,0.0103,0.4309
1840,21,6,2.15,0.9676,0.0114,0.4309
1840,23,6,2.15,0.9676,0.0125,0.4309
1856,11,6,2.15,0.9544,0.0059,0.4251
1856,13,6,2.15,0.9676,0.007,0.4309
1856,15,6,2.15,0.9676,0.0081,0.4309
1856,17,6,2.15,0.9676,0.0092,0.4309
1856,19,6,2.15,0.9676,0.0102,0.4309
1856,21,6,2.15,0.9676,0.0113,0.4309
1856,23,6,2.15,0.9676,0.0124,0.4309
1872,11,6,2.15,0.9544,0.0059,0.4251
1872,13,6,2.15,0.9676,0.0069,0.4309
1872,15,6,2.15,0.9676,0.008,0.4309
1872,17,6,2.15,0.9676,0.0091,0.4309
1872,19,6,2.15,0.9676,0.0101,0.4309
1872,21,6,2.15,0.9676,0.0112,0.4309
1872,23,6,2.15,0.9676,0.0123,0.4309
1888,11,6,2.15,0.9544,0.0058,0.4251
1888,13,6,2.15,0.9676,0.0069,0.4309
1888,15,6,2.15,0.9676,0.0079,0.4309
1888,17,6,2.15,0.9676,0.009,0.4309
1888,19,6,2.15,0.9676,0.0101,0.4309
1888,21,6,2.15,0.9676,0.0111,0.4309
1888,23,6,2.15,0.9676,0.0122,0.4309
1904,11,6,2.15,0.9544,0.0058,0.4251
1904,13,6,2.15,0.9676,0.0068,0.4309
1904,15,6,2.15,0.9676,0.0079,0.4309
1904,17,6,2.15,0.9676,0.0089,0.4309
1904,19,6,2.15,0.9676,0.01,0.4309
1904,21,6,2.15,0.9676,0.011,0.4309
1904,23,6,2.15,0.9676,0.0121,0.4309
1920,11,6,2.15,0.9544,0.0057,0.4251
1920,13,6,2.15,0.9676,0.0068,0.4309
1920,15,6,2.15,0.9676,0.0078,0.4309
1920,17,6,2.15,0.9676,0.0089,0.4309
1920,19,6,2.15,0.9676,0.0099,0.4309
1920,21,6,2.15,0.9676,0.0109,0.4309
