m,max_layer,efc,efs,avg_recall,avg_recall,avg_recall,avg_time_ms,avg_time_ms,avg_time_ms
32,9,710,560,0.98155,,1,1.59057,,1
32,9,710,800,0.98909,,1,2.210688,,1
32,9,710,830,0.98971,,1,2.29585,,1
32,9,710,838,0.98988,,1,2.314966,,1
32,9,710,842,0.98999,,1,2.357904,,1
32,9,710,843,0.99001,0.0,2,2.330271,0.0,2
32,9,710,844,0.99005,,1,2.377821,,1
32,9,710,845,0.99005,,1,2.628848,,1
32,9,710,860,0.99033,,1,2.411084,,1
32,9,710,920,0.99144,,1,2.559161,,1
32,9,710,1040,0.99311,,1,3.152625,,1
32,9,710,2000,0.99809,,1,5.360577,,1
33,5,511,560,0.9801955555555557,0.00010333333333334839,9,1.5448753333333334,0.05528610930875852,9
33,5,511,800,0.9879349999999999,6.123724356958948e-05,6,2.3219481666666666,0.2316521304183639,6
33,5,511,860,0.9892266666666667,8.164965809314887e-06,6,2.4195675,0.2991584408327801,6
33,5,511,890,0.9898983333333332,2.857738033239203e-05,6,2.456379166666667,0.21534685209068363,6
33,5,511,894,0.9899733333333334,1.6329931618545016e-05,6,2.4429966666666667,0.14273831423646097,6
33,5,511,895,0.98998,,1,2.426802,,1
33,5,511,896,0.99000625,1.060660171776607e-05,8,2.44116875,0.08752712256495115,8
33,5,511,897,0.99003,0.0,2,2.716318,0.0,2
33,5,511,898,0.9900466666666666,8.164965809226958e-06,6,2.4470251666666667,0.07324714545814491,6
33,5,511,905,0.9901966666666667,3.265986323714669e-05,6,2.47616,0.15440592410526227,6
33,5,511,920,0.990405,1.2247448713984793e-05,6,2.5108225,0.10112727179500103,6
33,5,511,1040,0.992095,1.2247448713883266e-05,6,2.802054333333333,0.17211248874694327,6
33,5,511,2000,0.9975083333333333,2.0412414523161893e-05,6,5.395390333333332,0.2649085546158648,6
33,12,647,560,0.98183,,1,1.848902,,1
33,12,647,800,0.98945,,1,2.584376,,1
33,12,647,815,0.98973,,1,2.717602,,1
33,12,647,823,0.98987,,1,2.806445,,1
33,12,647,827,0.98994,,1,2.711334,,1
33,12,647,829,0.98999,,1,2.606043,,1
33,12,647,830,0.99,0.0,2,2.671735,0.0,2
33,12,647,860,0.99053,,1,3.075785,,1
33,12,647,920,0.9917,,1,2.953854,,1
33,12,647,1040,0.99318,,1,3.319256,,1
33,12,647,2000,0.99814,,1,6.563097,,1
34,7,445,560,0.97914,,1,1.7278,,1
34,7,445,800,0.98742,,1,2.900787,,1
34,7,445,920,0.98989,,1,2.803031,,1
34,7,445,924,0.98996,,1,2.951157,,1
34,7,445,925,0.98998,,1,2.716428,,1
34,7,445,926,0.99001,,1,3.004189,,1
34,7,445,928,0.99001,,1,3.225912,,1
34,7,445,935,0.99019,0.0,2,2.916706,0.0,2
34,7,445,950,0.99037,,1,2.934004,,1
34,7,445,980,0.99075,,1,2.974404,,1
34,7,445,1040,0.99161,,1,3.189616,,1
34,7,445,2000,0.99741,,1,6.052079,,1
35,12,528,560,0.98136,,1,1.519581,,1
35,12,528,800,0.9889,,1,2.134527,,1
35,12,528,830,0.9896,,1,2.200279,,1
35,12,528,845,0.98982,,1,2.583366,,1
35,12,528,849,0.98989,,1,2.251558,,1
35,12,528,851,0.98992,,1,2.226619,,1
35,12,528,852,0.98996,,1,2.260543,,1
35,12,528,853,0.99,0.0,2,2.253305,0.0,2
35,12,528,860,0.99013,,1,2.263515,,1
35,12,528,920,0.99119,,1,2.403781,,1
35,12,528,1040,0.99281,,1,2.757496,,1
35,12,528,2000,0.99791,,1,5.381444,,1
38,4,599,560,0.98402,,1,1.587634,,1
38,4,599,680,0.98854,,1,1.934167,,1
38,4,599,740,0.98994,,1,2.090012,,1
38,4,599,742,0.98996,,1,2.092505,,1
38,4,599,743,0.98997,,1,2.089048,,1
38,4,599,744,0.99002,0.0,2,2.091706,0.0,2
38,4,599,748,0.99011,,1,2.11866,,1
38,4,599,755,0.9902,,1,2.158004,,1
38,4,599,770,0.99042,,1,2.167555,,1
38,4,599,800,0.991,,1,2.23626,,1
38,4,599,1040,0.99416,,1,2.919064,,1
38,4,599,2000,0.99843,,1,5.663173,,1
38,10,393,560,0.9792200000000001,0.0,3,1.6669356666666666,0.1661475510663138,3
38,10,393,800,0.98754,0.0,3,2.2840453333333333,0.20047044721936774,3
38,10,393,920,0.98995,0.0,3,2.627633,0.2039230018291218,3
38,10,393,922,0.98998,0.0,3,2.8725316666666667,0.11759470282854273,3
38,10,393,923,0.99002,0.0,4,2.693554,0.4073460183251255,4
38,10,393,924,0.99004,0.0,3,2.696137333333333,0.2547044221059646,3
38,10,393,928,0.9901,0.0,5,2.6727542,0.1619780810085116,5
38,10,393,935,0.99024,0.0,3,2.626651,0.2165998816897185,3
38,10,393,950,0.99053,0.0,3,2.700701666666667,0.18991648429858146,3
38,10,393,980,0.99086,0.0,3,3.0228816666666667,0.4549583629743862,3
38,10,393,1040,0.99173,0.0,3,3.054774333333333,0.3381442377097877,3
38,10,393,2000,0.9974500000000001,0.0,3,5.879495333333334,0.7615613781280753,3
39,12,400,2000,0.99754,0.0,2,5.165318,0.0,2
41,8,93,2000,0.97825,0.0,8,3.0866860000000003,0.014479826360442653,8
41,11,589,2000,0.9653199999999998,0.0,6,6.748642666666666,0.9301609839163679,6
42,4,680,560,0.98621,,1,1.716287,,1
42,4,680,620,0.98837,,1,1.895477,,1
42,4,680,650,0.98945,,1,1.966762,,1
42,4,680,665,0.98988,,1,2.011008,,1
42,4,680,667,0.98997,,1,2.021767,,1
42,4,680,668,0.98997,,1,2.028139,,1
42,4,680,669,0.99001,0.0,2,2.040528,0.0,2
42,4,680,673,0.99016,,1,2.33981,,1
42,4,680,680,0.99036,,1,2.060824,,1
42,4,680,800,0.99261,,1,2.439108,,1
42,4,680,1040,0.99536,,1,3.447148,,1
42,4,680,2000,0.99879,,1,5.723118,,1
43,4,586,560,0.98529,,1,1.675298,,1
43,4,586,680,0.98954,,1,2.324126,,1
43,4,586,695,0.98991,,1,2.038864,,1
43,4,586,697,0.98998,,1,2.065689,,1
43,4,586,698,0.99001,,1,2.368904,,1
43,4,586,699,0.99002,0.0,2,2.048091,0.0,2
43,4,586,703,0.99011,,1,2.083201,,1
43,4,586,710,0.99031,,1,2.084979,,1
43,4,586,740,0.99095,,1,2.214364,,1
43,4,586,800,0.99198,,1,2.319593,,1
43,4,586,1040,0.99478,,1,2.99558,,1
43,4,586,2000,0.99849,,1,5.570354,,1
43,10,735,320,0.9700099999999999,0.0,3,1.037142,0.0,3
43,10,735,380,0.97642,0.0,3,1.222344,0.0,3
43,10,735,410,0.9789,0.0,3,1.312417,0.0,3
43,10,735,418,0.97954,0.0,3,1.332533,0.0,3
43,10,735,422,0.9797600000000001,0.0,3,1.376296,0.0,3
43,10,735,424,0.97994,0.0,3,1.35874,0.0,3
43,10,735,425,0.98,0.0,6,1.34621,0.0,6
43,10,735,440,0.9809199999999999,0.0,3,1.406366,0.0,3
43,10,735,560,0.98707,0.0,4,1.80589175,0.05663750000000003,4
43,10,735,620,0.989,,1,2.048383,,1
43,10,735,650,0.98998,,1,2.222275,,1
43,10,735,651,0.98999,,1,2.122114,,1
43,10,735,652,0.99001,,1,2.361203,,1
43,10,735,654,0.99011,0.0,3,2.119702,0.0,3
43,10,735,658,0.99025,,1,2.136119,,1
43,10,735,665,0.99049,,1,2.163519,,1
43,10,735,680,0.99087,,1,2.247816,,1
43,10,735,800,0.99317,,1,2.953314,,1
43,10,735,1040,0.99575,0.0,4,3.25621625,0.0821324999999999,4
43,10,735,2000,0.99889,0.0,4,6.19257125,0.02375449999999975,4
44,4,1409,320,0.97551,,1,1.199364,,1
44,4,1409,350,0.97836,,1,1.314684,,1
44,4,1409,365,0.9798,,1,1.353292,,1
44,4,1409,367,0.97998,,1,1.353194,,1
44,4,1409,368,0.98005,0.0,2,1.362511,0.0,2
44,4,1409,369,0.98015,,1,1.380656,,1
44,4,1409,373,0.98043,,1,1.398355,,1
44,4,1409,380,0.98101,,1,1.406463,,1
44,4,1409,440,0.98489,,1,2.026879,,1
44,4,1409,560,0.99032,,1,2.039768,,1
44,4,1409,1040,0.99733,,1,3.735668,,1
44,4,1409,2000,0.99941,,1,7.037024,,1
45,5,623,560,0.98613,,1,1.72817,,1
45,5,623,620,0.98849,,1,1.87671,,1
45,5,623,650,0.98949,,1,2.277439,,1
45,5,623,665,0.9899,,1,2.024156,,1
45,5,623,667,0.98996,,1,2.014722,,1
45,5,623,668,0.98998,,1,2.046553,,1
45,5,623,669,0.99002,,1,2.058468,,1
45,5,623,673,0.99009,0.0,2,2.025861,0.0,2
45,5,623,680,0.99025,,1,2.036547,,1
45,5,623,800,0.99241,,1,2.445093,,1
45,5,623,1040,0.99523,,1,3.076048,,1
45,5,623,2000,0.99864,,1,6.055927,,1
45,6,435,560,0.98244,,1,1.579923,,1
45,6,435,800,0.98982,,1,2.199219,,1
45,6,435,804,0.9899,,1,2.194924,,1
45,6,435,806,0.98996,,1,2.187011,,1
45,6,435,807,0.98999,,1,2.522883,,1
45,6,435,808,0.99002,0.0,2,2.189403,0.0,2
45,6,435,815,0.99013,,1,2.204262,,1
45,6,435,830,0.99042,,1,2.267668,,1
45,6,435,860,0.99108,,1,2.342874,,1
45,6,435,920,0.99201,,1,2.787613,,1
45,6,435,1040,0.99338,,1,2.791707,,1
45,6,435,2000,0.99808,,1,5.279556,,1
47,8,510,560,0.9845,,1,1.629095,,1
47,8,510,680,0.98893,,1,2.228058,,1
47,8,510,710,0.98967,,1,2.050091,,1
47,8,510,725,0.98993,,1,2.063905,,1
47,8,510,726,0.98998,,1,2.397761,,1
47,8,510,727,0.99001,0.0,2,2.086687,0.0,2
47,8,510,729,0.99003,,1,2.089536,,1
47,8,510,733,0.99006,,1,2.138751,,1
47,8,510,740,0.99021,,1,2.165544,,1
47,8,510,800,0.99132,,1,2.312528,,1
47,8,510,1040,0.99439,,1,2.902418,,1
47,8,510,2000,0.99844,,1,5.489733,,1
48,9,515,560,0.9851,,1,1.654825,,1
48,9,515,680,0.98941,,1,2.192372,,1
48,9,515,695,0.98985,,1,2.033966,,1
48,9,515,699,0.98996,,1,2.048836,,1
48,9,515,700,0.98997,,1,2.11726,,1
48,9,515,701,0.99,,1,2.31542,,1
48,9,515,703,0.99003,,1,2.05036,,1
48,9,515,710,0.9902,0.0,2,2.036668,0.0,2
48,9,515,740,0.99073,,1,2.153435,,1
48,9,515,800,0.9918,,1,2.324479,,1
48,9,515,1040,0.99452,,1,2.974035,,1
48,9,515,2000,0.99848,,1,5.702135,,1
48,9,567,560,0.9856,,1,1.689811,,1
48,9,567,680,0.98998,,1,2.049783,,1
48,9,567,681,0.99,,1,2.058993,,1
48,9,567,682,0.99003,,1,2.039691,,1
48,9,567,684,0.99009,,1,2.049048,,1
48,9,567,688,0.99016,0.0,2,2.035642,0.0,2
48,9,567,695,0.99029,,1,2.09228,,1
48,9,567,710,0.99071,,1,2.105898,,1
48,9,567,740,0.99125,,1,2.203509,,1
48,9,567,800,0.99221,,1,2.691687,,1
48,9,567,1040,0.99492,,1,3.031928,,1
48,9,567,2000,0.99849,,1,5.747988,,1
49,1,480,560,0.98452,0.0,3,1.816823,0.15594519445946392,3
49,1,480,680,0.98855,0.0,3,2.2243863333333334,0.21032928041604956,3
49,1,480,740,0.9899299999999999,0.0,3,2.419494333333333,0.2455921028073448,3
49,1,480,742,0.98997,0.0,3,2.3683506666666667,0.20388027790920185,3
49,1,480,743,0.98999,0.0,3,2.4355646666666666,0.21207114617819497,3
49,1,480,744,0.99001,0.0,4,2.492944,0.36788874622816803,4
49,1,480,748,0.99007,0.0,5,2.4675454,0.00596448772318294,5
49,1,480,755,0.9902099999999999,0.0,3,2.5057959999999997,0.2606303452689266,3
49,1,480,770,0.9905,0.0,3,2.5360413333333334,0.2584785608156572,3
49,1,480,800,0.99103,0.0,3,2.7808056666666663,0.42151939008346145,3
49,1,480,1040,0.99415,0.0,3,3.4797736666666665,0.1286140100662962,3
49,1,480,2000,0.99843,0.0,3,6.4572709999999995,0.5197312896747707,3
49,7,616,560,0.98671,,1,1.728027,,1
49,7,616,620,0.98894,,1,1.915055,,1
49,7,616,650,0.98992,,1,2.028128,,1
49,7,616,652,0.98997,,1,1.997037,,1
49,7,616,653,0.98999,,1,2.007001,,1
49,7,616,654,0.99002,0.0,2,1.985606,0.0,2
49,7,616,658,0.99017,,1,1.987019,,1
49,7,616,665,0.99031,,1,2.05635,,1
49,7,616,680,0.9908,,1,2.0835,,1
49,7,616,800,0.99293,,1,2.472822,,1
49,7,616,1040,0.99544,,1,3.129046,,1
49,7,616,2000,0.99868,,1,6.177282,,1
50,5,630,560,0.98706,,1,1.768377,,1
50,5,630,620,0.98914,,1,1.928504,,1
50,5,630,635,0.98963,,1,1.982839,,1
50,5,630,643,0.98993,,1,1.985017,,1
50,5,630,645,0.98999,,1,2.322274,,1
50,5,630,646,0.99003,,1,2.036346,,1
50,5,630,647,0.99003,,1,2.019392,,1
50,5,630,650,0.99016,0.0,2,2.018876,0.0,2
50,5,630,680,0.99097,,1,2.128151,,1
50,5,630,800,0.99306,,1,2.861569,,1
50,5,630,1040,0.99559,,1,3.174621,,1
50,5,630,2000,0.99882,,1,6.037107,,1
51,7,603,560,0.98695,,1,1.886129,,1
51,7,603,620,0.98916,,1,2.079214,,1
51,7,603,635,0.98963,,1,2.133449,,1
51,7,603,643,0.98991,,1,2.148178,,1
51,7,603,645,0.98997,,1,2.190057,,1
51,7,603,646,0.98998,,1,2.206941,,1
51,7,603,647,0.99,0.0,2,2.147385,0.0,2
51,7,603,650,0.99011,,1,2.148291,,1
51,7,603,680,0.99095,,1,2.270688,,1
51,7,603,800,0.99297,,1,3.049864,,1
51,7,603,1040,0.99555,,1,3.413354,,1
51,7,603,2000,0.99873,,1,6.650702,,1
51,7,648,560,0.98728,0.0,3,1.775939,0.0,3
51,7,648,620,0.98924,0.0,3,1.9813020000000001,0.0,3
51,7,648,635,0.98982,0.0,3,2.037638,0.0,3
51,7,648,639,0.98991,0.0,3,2.042887,0.0,3
51,7,648,640,0.98995,0.0,3,2.065913,0.0,3
51,7,648,641,0.9899999999999999,0.0,3,2.333046,0.0,3
51,7,648,643,0.99004,0.0,6,2.070936,0.0,6
51,7,648,650,0.99023,0.0,3,2.074027,0.0,3
51,7,648,680,0.99103,0.0,3,2.148773,0.0,3
51,7,648,800,0.9931899999999999,0.0,3,2.794043,0.0,3
51,7,648,1040,0.99582,0.0,3,3.229711,0.0,3
51,7,648,2000,0.99876,0.0,3,5.976935999999999,0.0,3
51,10,944,320,0.97567,,1,1.182948,,1
51,10,944,350,0.97847,,1,1.283374,,1
51,10,944,365,0.97984,,1,1.30741,,1
51,10,944,367,0.97997,,1,1.312458,,1
51,10,944,368,0.98004,,1,1.337953,,1
51,10,944,369,0.98017,0.0,2,1.336275,0.0,2
51,10,944,373,0.98044,,1,1.353231,,1
51,10,944,380,0.98093,,1,1.37642,,1
51,10,944,440,0.98488,,1,1.60677,,1
51,10,944,560,0.9897,,1,1.996898,,1
51,10,944,1040,0.99684,,1,3.591643,,1
51,10,944,2000,0.99915,,1,6.838515,,1
52,4,605,560,0.98709,,1,1.810787,,1
52,4,605,620,0.98927,,1,1.896919,,1
52,4,605,635,0.98976,,1,1.938225,,1
52,4,605,639,0.98987,,1,1.966121,,1
52,4,605,641,0.98994,,1,2.309076,,1
52,4,605,642,0.98997,,1,1.967817,,1
52,4,605,643,0.99002,0.0,2,1.968873,0.0,2
52,4,605,650,0.9903,,1,2.006068,,1
52,4,605,680,0.99111,,1,2.125217,,1
52,4,605,800,0.99311,,1,2.756889,,1
52,4,605,1040,0.99562,,1,3.14353,,1
52,4,605,2000,0.99878,,1,5.884256,,1
52,9,549,560,0.9859,,1,1.661882,,1
52,9,549,680,0.98994,,1,2.032123,,1
52,9,549,681,0.98996,,1,2.063085,,1
52,9,549,682,0.99001,,1,2.050196,,1
52,9,549,684,0.99007,,1,2.055456,,1
52,9,549,688,0.99013,,1,2.062861,,1
52,9,549,695,0.99029,0.0,2,2.036875,0.0,2
52,9,549,710,0.99062,,1,2.136181,,1
52,9,549,740,0.99123,,1,2.493616,,1
52,9,549,800,0.99226,,1,2.350491,,1
52,9,549,1040,0.995,,1,3.064199,,1
52,9,549,2000,0.99866,,1,6.044459,,1
52,12,957,560,0.98988,,1,3.031855,,1
52,12,957,564,0.98996,,1,2.976832,,1
52,12,957,565,0.98997,,1,3.113836,,1
52,12,957,566,0.99005,,1,3.045073,,1
52,12,957,568,0.99011,0.0,2,2.97554,0.0,2
52,12,957,575,0.99032,,1,3.96157,,1
52,12,957,590,0.99081,,1,3.892431,,1
52,12,957,620,0.99146,,1,4.078401,,1
52,12,957,680,0.99288,,1,4.868055,,1
52,12,957,800,0.99492,,1,5.171205,,1
52,12,957,1040,0.99695,,1,5.725683,,1
52,12,957,2000,0.99917,,1,10.381716,,1
54,8,767,560,0.98881,,1,1.855009,,1
54,8,767,590,0.9896,,1,1.974644,,1
54,8,767,605,0.98998,,1,2.010983,,1
54,8,767,606,0.99002,,1,2.038516,,1
54,8,767,607,0.99007,,1,2.358968,,1
54,8,767,609,0.99013,,1,2.035423,,1
54,8,767,613,0.99026,0.0,2,2.025276,0.0,2
54,8,767,620,0.99047,,1,2.102654,,1
54,8,767,680,0.99214,,1,2.276587,,1
54,8,767,800,0.99426,,1,2.982137,,1
54,8,767,1040,0.9965,,1,3.356717,,1
54,8,767,2000,0.99902,,1,6.713405,,1
55,1,683,560,0.98828,,1,1.947877,,1
55,1,683,590,0.98918,,1,1.923059,,1
55,1,683,605,0.98974,,1,1.947454,,1
55,1,683,613,0.98997,,1,2.325338,,1
55,1,683,614,0.99001,,1,1.999769,,1
55,1,683,615,0.99003,0.0,2,1.992636,0.0,2
55,1,683,617,0.9901,,1,2.023235,,1
55,1,683,620,0.99019,,1,2.016517,,1
55,1,683,680,0.99189,,1,2.400812,,1
55,1,683,800,0.99393,,1,2.575939,,1
55,1,683,1040,0.99633,,1,3.277951,,1
55,1,683,2000,0.99905,,1,6.131784,,1
55,6,692,560,0.98829,,1,1.853514,,1
55,6,692,590,0.98915,,1,2.275272,,1
55,6,692,605,0.98967,,1,1.987311,,1
55,6,692,613,0.98995,,1,2.00714,,1
55,6,692,614,0.99,,1,2.02578,,1
55,6,692,615,0.99001,0.0,2,1.997167,0.0,2
55,6,692,617,0.99004,,1,2.025927,,1
55,6,692,620,0.99018,,1,2.013717,,1
55,6,692,680,0.9918,,1,2.209059,,1
55,6,692,800,0.99381,,1,2.597779,,1
55,6,692,1040,0.99621,,1,3.561972,,1
55,6,692,2000,0.99901,,1,7.283478,,1
55,11,430,560,0.98305,,1,1.868044,,1
55,11,430,680,0.98762,,1,1.893159,,1
55,11,430,740,0.98914,,1,2.050927,,1
55,11,430,770,0.98967,,1,2.114369,,1
55,11,430,785,0.98996,,1,2.180849,,1
55,11,430,787,0.98998,,1,2.178027,,1
55,11,430,788,0.98999,,1,2.173909,,1
55,11,430,789,0.99002,,1,2.483155,,1
55,11,430,793,0.99012,0.0,2,2.16776,0.0,2
55,11,430,800,0.99032,,1,2.239848,,1
55,11,430,1040,0.99358,,1,2.869057,,1
55,11,430,2000,0.99821,,1,5.39628,,1
55,11,598,560,0.98701,0.0,3,2.0028566666666667,0.20866593429051453,3
55,11,598,620,0.9892,0.0,3,2.3110456666666668,0.2827561396350807,3
55,11,598,635,0.98965,0.0,3,2.437276333333333,0.3888465609997513,3
55,11,598,643,0.98989,0.0,3,2.2464956666666667,0.21446137629263987,3
55,11,598,645,0.98995,0.0,3,2.350979666666667,0.0003146558967082601,3
55,11,598,646,0.98999,0.0,3,2.2716463333333334,0.19006082186587905,3
55,11,598,647,0.99002,0.0,4,2.228771,0.24102295277697774,4
55,11,598,650,0.9900800000000001,0.0,5,2.3259090000000002,0.1687873552135941,5
55,11,598,680,0.9909,0.0,3,2.498822,0.3086185449434302,3
55,11,598,800,0.99304,0.0,3,3.024971666666667,0.22448302226523373,3
55,11,598,1040,0.99555,0.0,3,3.8863940000000006,0.602109358133554,3
55,11,598,2000,0.9988,0.0,3,6.8895143333333335,0.732530474542413,3
55,11,1286,320,0.97849,,1,1.269966,,1
55,11,1286,335,0.97976,,1,1.361741,,1
55,11,1286,337,0.97993,,1,1.339487,,1
55,11,1286,338,0.98003,,1,1.346332,,1
55,11,1286,339,0.98011,,1,1.347038,,1
55,11,1286,343,0.98034,0.0,2,1.337424,0.0,2
55,11,1286,350,0.98094,,1,1.36727,,1
55,11,1286,380,0.98335,,1,1.499874,,1
55,11,1286,440,0.98685,,1,1.732993,,1
55,11,1286,560,0.99167,,1,2.165695,,1
55,11,1286,1040,0.99776,,1,3.904864,,1
55,11,1286,2000,0.99944,,1,7.315111,,1
56,11,541,560,0.98603,,1,1.699032,,1
56,11,541,620,0.98829,,1,2.152,,1
56,11,541,650,0.98934,,1,1.936011,,1
56,11,541,665,0.98968,,1,1.993399,,1
56,11,541,673,0.98994,,1,2.020794,,1
56,11,541,674,0.98995,,1,2.028182,,1
56,11,541,675,0.99,,1,2.056076,,1
56,11,541,677,0.99003,,1,2.03968,,1
56,11,541,680,0.99012,0.0,2,2.020862,0.0,2
56,11,541,800,0.99239,,1,2.342873,,1
56,11,541,1040,0.99509,,1,3.036866,,1
56,11,541,2000,0.99867,,1,6.041929,,1
56,13,416,560,0.98297,,1,1.569744,,1
56,13,416,680,0.98738,,1,1.884436,,1
56,13,416,740,0.98892,,1,2.329098,,1
56,13,416,770,0.9895,,1,2.092798,,1
56,13,416,785,0.98983,,1,2.158163,,1
56,13,416,789,0.98991,,1,2.150878,,1
56,13,416,791,0.98995,,1,2.16336,,1
56,13,416,792,0.98997,,1,2.471593,,1
56,13,416,793,0.99,0.0,2,2.162338,0.0,2
56,13,416,800,0.99016,,1,2.197911,,1
56,13,416,1040,0.9936,,1,2.827212,,1
56,13,416,2000,0.99824,,1,5.310687,,1
57,10,607,560,0.98726,,1,1.757561,,1
57,10,607,620,0.98936,,1,1.963018,,1
57,10,607,635,0.98987,,1,1.977895,,1
57,10,607,637,0.9899,,1,1.9953,,1
57,10,607,638,0.98996,,1,1.975014,,1
57,10,607,639,0.99,0.0,2,1.999185,0.0,2
57,10,607,643,0.99012,,1,2.2962,,1
57,10,607,650,0.99029,,1,2.022225,,1
57,10,607,680,0.99109,,1,2.056691,,1
57,10,607,800,0.99316,,1,2.475841,,1
57,10,607,1040,0.99564,,1,3.598143,,1
57,10,607,2000,0.99876,,1,5.97928,,1
57,10,757,560,0.98908,,1,1.854998,,1
57,10,757,590,0.98986,,1,2.284439,,1
57,10,757,592,0.9899,,1,1.993971,,1
57,10,757,593,0.98993,,1,1.947437,,1
57,10,757,594,0.99,0.0,2,1.997152,0.0,2
57,10,757,598,0.99011,,1,2.032406,,1
57,10,757,605,0.99029,,1,2.012,,1
57,10,757,620,0.9907,,1,2.069094,,1
57,10,757,680,0.99233,,1,2.265982,,1
57,10,757,800,0.99441,,1,2.645404,,1
57,10,757,1040,0.99663,,1,3.367391,,1
57,10,757,2000,0.99911,,1,6.654931,,1
58,8,455,320,0.96593,,1,1.001721,,1
58,8,455,440,0.9776,,1,1.406765,,1
58,8,455,470,0.97955,,1,1.505321,,1
58,8,455,474,0.9798,,1,1.438933,,1
58,8,455,476,0.9799,,1,1.478834,,1
58,8,455,477,0.97997,,1,1.767115,,1
58,8,455,478,0.98002,0.0,2,1.466746,0.0,2
58,8,455,485,0.98049,,1,1.487866,,1
58,8,455,500,0.98136,,1,1.510516,,1
58,8,455,560,0.98433,,1,2.017826,,1
58,8,455,1040,0.9942,,1,3.16195,,1
58,8,455,2000,0.99844,,1,5.697905,,1
59,3,462,560,0.98439,,1,1.653534,,1
59,3,462,680,0.98867,,1,1.976998,,1
59,3,462,710,0.98936,,1,2.032262,,1
59,3,462,725,0.98975,,1,2.122779,,1
59,3,462,733,0.98991,,1,2.434895,,1
59,3,462,737,0.98997,,1,2.134043,,1
59,3,462,738,0.98998,,1,2.14562,,1
59,3,462,739,0.99002,0.0,2,2.137426,0.0,2
